A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,A13,A14,Class
1,22,11,2,4,4,1,0,0,0,1,2,100,1213,False
0,22,7,2,8,4,0,0,0,0,0,2,160,1,False
0,29,1,1,4,4,1,0,0,0,1,2,280,1,False
0,21,11,1,5,3,0,1,1,11,1,2,0,1,True
1,20,8,2,6,4,1,1,1,14,0,2,60,159,True
0,15,0,2,8,8,1,1,1,2,0,2,100,1,True
1,17,6,2,3,4,0,0,0,0,0,2,60,101,False
0,58,4,2,11,8,3,1,1,6,0,2,43,561,True
1,27,1,1,2,8,3,0,0,0,0,2,176,538,False
0,55,7,2,4,8,6,1,1,3,1,2,100,51,False
1,33,1,2,14,8,4,1,1,4,1,2,253,858,True
1,41,5,2,11,8,5,1,1,6,1,2,470,1,True
1,20,1,1,8,8,1,1,1,3,1,2,140,211,False
1,34,5,2,14,8,7,1,1,6,1,2,0,1001,True
1,58,2,2,8,4,2,0,0,0,1,2,320,1,False
1,48,6,2,4,4,0,0,0,0,0,2,0,2691,True
1,29,4,2,9,4,7,1,1,2,1,2,330,1,True
0,18,9,2,6,4,0,1,1,2,0,2,88,592,True
1,20,1,1,4,4,0,0,0,0,0,2,140,5,False
0,22,5,2,11,4,2,1,1,7,0,2,129,3258,True
0,28,0,2,6,4,0,0,0,0,0,2,260,1005,False
0,19,0,1,6,4,0,1,0,0,1,2,160,1,False
1,41,1,2,2,4,0,0,0,0,0,2,168,1,False
1,41,1,2,4,4,0,1,0,0,0,2,160,1,False
1,19,9,2,6,4,0,0,0,0,0,2,80,351,False
1,32,1,2,13,8,5,1,1,3,1,2,0,1,True
1,22,0,1,4,4,0,0,0,0,0,2,200,71,False
1,33,3,1,8,8,2,1,1,1,1,2,180,18028,True
0,30,12,2,8,4,2,1,1,1,0,2,220,20,True
1,23,2,2,8,4,1,1,1,11,1,2,60,2185,True
1,27,0,2,8,8,4,1,1,3,1,2,312,151,True
0,20,10,1,14,8,0,0,0,0,1,2,154,33,False
1,52,1,1,8,8,9,1,0,0,1,2,200,101,False
1,23,11,2,9,8,2,1,1,11,1,2,290,285,True
1,42,1,2,7,4,13,0,1,1,1,2,352,113,False
1,74,19,1,1,1,0,0,1,2,0,2,0,352,False
1,25,12,2,6,4,3,1,0,0,1,1,20,1,True
