age,education_num,hours_per_week,workclass,marital_status,occupation,sex,income
45,9.0,40.0,workclass_Private,marital_status_Divorced,occupation_Other-service,sex_Female,income_<=50K
41,10.0,43.29580307006836,workclass_Private,marital_status_Married-civ-spouse,occupation_Exec-managerial,sex_Male,income_>50K
32,9.0,40.0,workclass_Private,marital_status_Married-civ-spouse,occupation_Craft-repair,sex_Male,income_<=50K
54,6.0,40.0,workclass_Private,marital_status_Married-civ-spouse,occupation_Handlers-cleaners,sex_Male,income_<=50K
36,13.0,40.0,workclass_Private,marital_status_Married-civ-spouse,occupation_Exec-managerial,sex_Male,income_>50K
39,13.0,40.0,workclass_Private,marital_status_Never-married,occupation_Prof-specialty,sex_Male,income_<=50K
18,6.730222702026367,15.0,workclass_Private,marital_status_Never-married,occupation_Sales,sex_Female,income_<=50K
28,13.0,65.0,workclass_Private,marital_status_Never-married,occupation_Sales,sex_Male,income_<=50K
54,10.0,40.0,workclass_Self-emp-not-inc,marital_status_Married-civ-spouse,occupation_Sales,sex_Male,income_<=50K
54,13.0,50.0,workclass_Local-gov,marital_status_Never-married,occupation_Prof-specialty,sex_Male,income_<=50K
36,10.0,48.0,workclass_Private,marital_status_Married-civ-spouse,occupation_Machine-op-inspct,sex_Male,income_<=50K
30,9.0,62.0,workclass_Private,marital_status_Married-civ-spouse,occupation_Exec-managerial,sex_Male,income_<=50K
43,9.18947982788086,25.0,workclass_Self-emp-not-inc,marital_status_Divorced,occupation_Exec-managerial,sex_Male,income_<=50K
26,10.0,50.0,workclass_Private,marital_status_Never-married,occupation_Priv-house-serv,sex_Female,income_<=50K
22,10.0,40.0,workclass_Private,marital_status_Never-married,occupation_Tech-support,sex_Female,income_<=50K
47,13.0,50.0,workclass_Private,marital_status_Married-civ-spouse,occupation_Prof-specialty,sex_Male,income_>50K
22,10.0,40.0,workclass_Private,marital_status_Never-married,occupation_Tech-support,sex_Male,income_<=50K
30,13.0,60.0,workclass_Private,marital_status_Never-married,occupation_Prof-specialty,sex_Female,income_<=50K
37,9.0,40.0,workclass_Self-emp-not-inc,marital_status_Married-civ-spouse,occupation_Craft-repair,sex_Male,income_<=50K
35,15.0,42.15711212158203,workclass_Private,marital_status_Married-civ-spouse,occupation_Prof-specialty,sex_Male,income_>50K
59,9.0,40.0,workclass_Private,marital_status_Married-civ-spouse,occupation_Craft-repair,sex_Male,income_<=50K
37,10.0,40.0,workclass_Private,marital_status_Divorced,occupation_Tech-support,sex_Female,income_<=50K
47,9.0,44.0855712890625,workclass_Private,marital_status_Married-civ-spouse,occupation_Adm-clerical,sex_Male,income_>50K
18,9.0,25.0,workclass_Private,marital_status_Never-married,occupation_Handlers-cleaners,sex_Male,income_<=50K
34,9.0,48.0,workclass_Private,marital_status_Married-civ-spouse,occupation_Craft-repair,sex_Male,income_>50K
34,16.0,60.0,workclass_State-gov,marital_status_Never-married,occupation_Prof-specialty,sex_Female,income_<=50K
44,8.0,36.0,workclass_Private,marital_status_Never-married,occupation_Transport-moving,sex_Male,income_<=50K
34,16.0,50.0,workclass_Private,marital_status_Married-civ-spouse,occupation_Prof-specialty,sex_Male,income_>50K
25,13.0,50.0,workclass_Private,marital_status_Never-married,occupation_Exec-managerial,sex_Male,income_<=50K
33,10.196667671203613,40.0,workclass_Local-gov,marital_status_Divorced,occupation_Craft-repair,sex_Male,income_<=50K
35,13.0,40.0,workclass_Federal-gov,marital_status_Widowed,occupation_Adm-clerical,sex_Male,income_>50K
27,14.0,35.0,workclass_Local-gov,marital_status_Never-married,occupation_Prof-specialty,sex_Male,income_<=50K
24,9.0,40.0,workclass_Private,marital_status_Never-married,occupation_Craft-repair,sex_Male,income_<=50K
32,11.0,45.0,workclass_Private,marital_status_Never-married,occupation_Craft-repair,sex_Male,income_<=50K
27,13.0,23.956403732299805,workclass_Private,marital_status_Never-married,occupation_Tech-support,sex_Female,income_<=50K
33,3.0,40.0,workclass_Private,marital_status_Never-married,occupation_Other-service,sex_Female,income_<=50K
33,9.0,40.0,workclass_Private,marital_status_Never-married,occupation_Adm-clerical,sex_Male,income_<=50K
23,10.599318504333496,40.0,workclass_Private,marital_status_Divorced,occupation_Sales,sex_Female,income_<=50K
33,11.02716064453125,40.0,workclass_Private,marital_status_Married-civ-spouse,occupation_Transport-moving,sex_Male,income_<=50K
45,6.0,70.0,workclass_Self-emp-not-inc,marital_status_Married-civ-spouse,occupation_Craft-repair,sex_Male,income_<=50K
45,14.0,37.0,workclass_Local-gov,marital_status_Married-civ-spouse,occupation_Prof-specialty,sex_Male,income_>50K
54,10.517525672912598,48.0,workclass_Private,marital_status_Married-civ-spouse,occupation_Craft-repair,sex_Male,income_>50K
29,7.575721263885498,20.0,workclass_Private,marital_status_Divorced,occupation_Other-service,sex_Female,income_<=50K
51,15.0,40.0,workclass_Private,marital_status_Never-married,occupation_Prof-specialty,sex_Male,income_<=50K
56,9.0,70.0,workclass_Self-emp-not-inc,marital_status_Married-spouse-absent,occupation_Exec-managerial,sex_Male,income_<=50K
40,11.0,40.0,workclass_Private,marital_status_Married-civ-spouse,occupation_Transport-moving,sex_Male,income_<=50K
28,10.0,60.0,workclass_Private,marital_status_Married-civ-spouse,occupation_Craft-repair,sex_Male,income_<=50K
30,13.0,40.0,workclass_Local-gov,marital_status_Never-married,occupation_Exec-managerial,sex_Male,income_<=50K
29,10.0,40.0,workclass_Private,marital_status_Married-civ-spouse,occupation_Exec-managerial,sex_Male,income_<=50K
21,9.0,35.0,workclass_Private,marital_status_Never-married,occupation_Other-service,sex_Male,income_<=50K
