age,education_num,hours_per_week,sex,marital_status,workclass,occupation,income
45,9,35.236150728197686,Female,Divorced,Private,Other-service,<=50K
41,11.16247044871397,40,Male,Married-civ-spouse,Private,Exec-managerial,>50K
32,9,40,Male,Married-civ-spouse,Private,Craft-repair,<=50K
54,6,40,Male,Married-civ-spouse,Private,Handlers-cleaners,<=50K
36,10.768688599287087,40,Male,Married-civ-spouse,Private,Exec-managerial,>50K
39,13,40,Male,Never-married,Private,Prof-specialty,<=50K
18,7,15,Female,Never-married,Private,Sales,<=50K
28,13,65,Male,Never-married,Private,Sales,<=50K
54,10,40,Male,Married-civ-spouse,Self-emp-not-inc,Sales,<=50K
54,13,50,Male,Never-married,Local-gov,Prof-specialty,<=50K
36,10,48,Male,Married-civ-spouse,Private,Machine-op-inspct,<=50K
30,9,62,Male,Married-civ-spouse,Private,Exec-managerial,<=50K
43,11,25,Male,Divorced,Self-emp-not-inc,Exec-managerial,<=50K
26,10,50,Female,Never-married,Private,Priv-house-serv,<=50K
22,10,40,Female,Never-married,Private,Tech-support,<=50K
47,13,50,Male,Married-civ-spouse,Private,Prof-specialty,>50K
22,10,40,Male,Never-married,Private,Tech-support,<=50K
30,10.623623038534923,60,Female,Never-married,Private,Prof-specialty,<=50K
37,9,40,Male,Married-civ-spouse,Self-emp-not-inc,Craft-repair,<=50K
35,11.313945214370873,45,Male,Married-civ-spouse,Private,Prof-specialty,>50K
59,9.68597438552737,40,Male,Married-civ-spouse,Private,Craft-repair,<=50K
37,10,40,Female,Divorced,Private,Tech-support,<=50K
47,9,50,Male,Married-civ-spouse,Private,Adm-clerical,>50K
18,9,25,Male,Never-married,Private,Handlers-cleaners,<=50K
34,10.237126018297205,48,Male,Married-civ-spouse,Private,Craft-repair,>50K
34,16,60,Female,Never-married,State-gov,Prof-specialty,<=50K
44,9.569544260085618,36,Male,Never-married,Private,Transport-moving,<=50K
34,16,50,Male,Married-civ-spouse,Private,Prof-specialty,>50K
25,13,50,Male,Never-married,Private,Exec-managerial,<=50K
33,10.370797721306317,40,Male,Divorced,Local-gov,Craft-repair,<=50K
35,13,40.617580618330265,Male,Widowed,Federal-gov,Adm-clerical,>50K
27,14,35,Male,Never-married,Local-gov,Prof-specialty,<=50K
24,9,40,Male,Never-married,Private,Craft-repair,<=50K
32,11,45,Male,Never-married,Private,Craft-repair,<=50K
27,9.65335177082693,36.40391674794649,Female,Never-married,Private,Tech-support,<=50K
33,3,40,Female,Never-married,Private,Other-service,<=50K
33,9,40,Male,Never-married,Private,Adm-clerical,<=50K
23,10,40,Female,Divorced,Private,Sales,<=50K
33,10,40,Male,Married-civ-spouse,Private,Transport-moving,<=50K
45,6,70,Male,Married-civ-spouse,Self-emp-not-inc,Craft-repair,<=50K
45,14,46.37213001814496,Male,Married-civ-spouse,Local-gov,Prof-specialty,>50K
54,9,48,Male,Married-civ-spouse,Private,Craft-repair,>50K
29,7,20,Female,Divorced,Local-gov,Other-service,<=50K
51,15,39.844629298208275,Male,Never-married,Local-gov,Prof-specialty,<=50K
56,9,43.21506133734973,Male,Married-spouse-absent,Self-emp-not-inc,Exec-managerial,<=50K
40,11,40,Male,Married-civ-spouse,Private,Transport-moving,<=50K
28,10,60,Male,Married-civ-spouse,Private,Craft-repair,<=50K
30,13,40,Male,Never-married,Local-gov,Exec-managerial,<=50K
29,10.51415141118267,44.05539139365901,Male,Married-civ-spouse,Private,Exec-managerial,<=50K
21,9,35,Male,Never-married,Private,Other-service,<=50K
21,6,40,Male,Married-civ-spouse,Private,Craft-repair,<=50K
48,12,42.18430012388285,Male,Married-civ-spouse,Private,Craft-repair,<=50K
17,6,20,Female,Never-married,Private,Other-service,<=50K
32,5,40,Female,Separated,Private,Other-service,<=50K
66,9,40,Male,Separated,Private,Machine-op-inspct,<=50K
57,9,45.21732889155681,Male,Married-civ-spouse,Self-emp-not-inc,Sales,<=50K
45,14,35,Female,Divorced,Local-gov,Prof-specialty,<=50K
45,9,8,Male,Married-civ-spouse,Private,Prof-specialty,<=50K
29,11.239015010155178,50,Male,Married-civ-spouse,Private,Exec-managerial,>50K
36,9.982088864610551,40,Male,Married-civ-spouse,Private,Machine-op-inspct,<=50K
19,10,4,Female,Never-married,Private,Other-service,<=50K
30,9,62,Female,Divorced,Private,Adm-clerical,<=50K
18,9,20,Female,Never-married,Private,Craft-repair,<=50K
59,9,20,Male,Divorced,Self-emp-not-inc,Prof-specialty,<=50K
44,9,60,Female,Married-civ-spouse,Self-emp-inc,Sales,<=50K
39,9,44,Male,Never-married,Private,Tech-support,<=50K
39,10.18317607185508,70,Male,Married-civ-spouse,Private,Transport-moving,>50K
46,10.529843769872285,60,Female,Widowed,Private,Adm-clerical,<=50K
28,13,15,Female,Married-civ-spouse,Private,Other-service,<=50K
72,7,40,Female,Widowed,Private,Adm-clerical,<=50K
47,13,46.46830016705237,Male,Married-civ-spouse,Self-emp-inc,Exec-managerial,>50K
34,9.810003492363284,60,Male,Divorced,Private,Transport-moving,<=50K
30,7,40,Male,Never-married,Private,Handlers-cleaners,<=50K
24,13,45,Male,Married-civ-spouse,Private,Sales,>50K
30,10.371869125189455,40,Male,Never-married,Private,Prof-specialty,<=50K
34,10.189502143997997,44.764492359169694,Male,Married-civ-spouse,Private,Machine-op-inspct,>50K
51,10.943364169707856,40,Male,Married-civ-spouse,Self-emp-inc,Exec-managerial,>50K
41,9,40,Male,Divorced,Private,Transport-moving,<=50K
40,10,44.010237918502064,Male,Married-civ-spouse,Private,Sales,<=50K
52,9,40,Male,Married-civ-spouse,Private,Machine-op-inspct,>50K
32,10,40,Male,Never-married,Private,Exec-managerial,<=50K
35,9.275356218805282,35,Female,Divorced,Private,Other-service,<=50K
71,11.67861788840737,49.09302567307176,Male,Married-civ-spouse,Self-emp-inc,Exec-managerial,>50K
47,13,40,Male,Divorced,Federal-gov,Prof-specialty,<=50K
34,4,45,Male,Married-civ-spouse,Private,Transport-moving,<=50K
23,11,40,Male,Never-married,Private,Tech-support,<=50K
23,10,24,Female,Never-married,Private,Adm-clerical,<=50K
38,13,45,Male,Married-civ-spouse,Private,Prof-specialty,>50K
39,16,40,Male,Divorced,Self-emp-not-inc,Adm-clerical,<=50K
27,15,12,Female,Divorced,Private,Prof-specialty,<=50K
38,10,40,Male,Divorced,Private,Craft-repair,<=50K
27,10.271393922421916,36,Female,Never-married,Private,Prof-specialty,<=50K
29,9,18,Female,Married-civ-spouse,Private,Sales,<=50K
33,9,40,Male,Married-civ-spouse,Private,Tech-support,<=50K
62,13,45.80747627281765,Male,Married-civ-spouse,Private,Sales,>50K
34,8.8398041647257255,40,Male,Never-married,Private,Machine-op-inspct,<=50K
43,10,70,Male,Married-civ-spouse,Self-emp-inc,Exec-managerial,>50K
48,10,30,Male,Married-civ-spouse,Self-emp-not-inc,Exec-managerial,>50K
47,15,40,Male,Married-civ-spouse,Self-emp-not-inc,Prof-specialty,>50K
22,13,30,Female,Never-married,Private,Exec-managerial,<=50K
47,9,40,Male,Married-civ-spouse,Private,Craft-repair,<=50K
61,9.577785452202756,40,Male,Married-civ-spouse,Private,Transport-moving,<=50K
23,9.258659168654777,40,Male,Never-married,Private,Handlers-cleaners,<=50K
60,13,40,Female,Divorced,State-gov,Prof-specialty,<=50K
34,9,40,Male,Never-married,Private,Transport-moving,<=50K
70,9,16,Male,Married-civ-spouse,Self-emp-inc,Exec-managerial,<=50K
17,9.30711165849064,30,Male,Never-married,Private,Handlers-cleaners,<=50K
59,15,25,Male,Married-civ-spouse,Self-emp-not-inc,Sales,<=50K
25,14,20,Male,Never-married,Private,Sales,<=50K
34,13,40,Male,Married-civ-spouse,Local-gov,Protective-serv,>50K
72,10,35,Male,Married-civ-spouse,Self-emp-not-inc,Craft-repair,<=50K
47,7,58,Male,Married-civ-spouse,Private,Adm-clerical,<=50K
56,10,45,Male,Married-civ-spouse,Private,Sales,>50K
47,13,25,Female,Divorced,Private,Other-service,<=50K
51,13,40,Female,Separated,Private,Adm-clerical,<=50K
28,9,40,Male,Married-civ-spouse,Private,Machine-op-inspct,<=50K
18,7,4,Female,Never-married,Self-emp-not-inc,Other-service,<=50K
53,14,60,Female,Never-married,Private,Exec-managerial,>50K
61,9,40,Male,Married-civ-spouse,Private,Machine-op-inspct,<=50K
24,9,40.289606899629554,Female,Married-civ-spouse,Private,Transport-moving,<=50K
26,14,40,Female,Never-married,State-gov,Exec-managerial,<=50K
30,9.22180580144374,40,Male,Never-married,Self-emp-not-inc,Farming-fishing,<=50K
48,14,40,Male,Married-civ-spouse,Self-emp-not-inc,Exec-managerial,>50K
52,13,50,Male,Married-civ-spouse,Private,Exec-managerial,>50K
47,10,20,Male,Married-civ-spouse,Self-emp-not-inc,Prof-specialty,<=50K
34,13,40,Female,Never-married,Local-gov,Prof-specialty,<=50K
69,8,60,Male,Married-civ-spouse,Private,Transport-moving,>50K
62,9,40,Male,Married-civ-spouse,Local-gov,Transport-moving,<=50K
31,13,40,Male,Married-civ-spouse,Private,Prof-specialty,<=50K
