age,education_num,hours_per_week,workclass,marital_status,occupation,sex,income
45.00000000000001,9.0,35.531884980201724,Private,status_Divorced,Other-service,Female,<=50K
41.00000000000001,10.610752761363983,40.0,Private,status_Married-civ-spouse,Exec-managerial,Male,>50K
32.0,9.0,40.0,Private,status_Married-civ-spouse,Craft-repair,Male,<=50K
54.000000000000014,6.0,40.0,Private,status_Married-civ-spouse,Handlers-cleaners,Male,<=50K
36.0,11.59659868478775,40.0,Private,status_Married-civ-spouse,Exec-managerial,Male,>50K
38.99999999999999,13.0,40.0,Private,status_Never-married,Prof-specialty,Male,<=50K
18.0,7.0,14.999999999999996,Private,status_Never-married,Sales,Female,<=50K
28.0,13.0,65.0,Private,status_Never-married,Sales,Male,<=50K
54.000000000000014,10.0,40.0,Self-emp-not-inc,status_Married-civ-spouse,Sales,Male,<=50K
54.000000000000014,13.0,50.00000000000001,Local-gov,status_Never-married,Prof-specialty,Male,<=50K
36.0,10.0,48.0,Private,status_Married-civ-spouse,Machine-op-inspct,Male,<=50K
30.0,9.0,62.0,Private,status_Married-civ-spouse,Exec-managerial,Male,<=50K
42.99999999999999,11.0,25.000000000000004,Self-emp-not-inc,status_Divorced,Exec-managerial,Male,<=50K
26.0,10.0,50.00000000000001,Private,status_Never-married,Priv-house-serv,Female,<=50K
22.0,10.0,40.0,Private,status_Never-married,Tech-support,Female,<=50K
46.99999999999999,13.0,50.00000000000001,Private,status_Married-civ-spouse,Prof-specialty,Male,>50K
22.0,10.0,40.0,Private,status_Never-married,Tech-support,Male,<=50K
30.0,10.873030066490173,59.999999999999986,Private,status_Never-married,Prof-specialty,Female,<=50K
37.00000000000001,9.0,40.0,Self-emp-not-inc,status_Married-civ-spouse,Craft-repair,Male,<=50K
35.0,12.920956015586853,45.0,Private,status_Married-civ-spouse,Prof-specialty,Male,>50K
58.999999999999986,9.544771015644073,40.0,Private,status_Married-civ-spouse,Craft-repair,Male,<=50K
37.00000000000001,10.0,40.0,Private,status_Divorced,Tech-support,Female,<=50K
46.99999999999999,9.0,50.00000000000001,Private,status_Married-civ-spouse,Adm-clerical,Male,>50K
18.0,9.0,25.000000000000004,Private,status_Never-married,Handlers-cleaners,Male,<=50K
34.0,10.014446377754211,48.0,Private,status_Married-civ-spouse,Craft-repair,Male,>50K
34.0,16.0,59.999999999999986,State-gov,status_Never-married,Prof-specialty,Female,<=50K
44.0,9.41405776143074,36.0,Private,status_Never-married,Transport-moving,Male,<=50K
34.0,16.0,50.00000000000001,Private,status_Married-civ-spouse,Prof-specialty,Male,>50K
25.0,13.0,50.00000000000001,Private,status_Never-married,Exec-managerial,Male,<=50K
33.0,8.702281564474106,40.0,Local-gov,status_Divorced,Craft-repair,Male,<=50K
