age,education_num,hours_per_week,sex,marital_status,workclass,occupation,income
45,9,38.23342651029062,Female,Divorced,Private,Other-service,<=50K
41,12.244624653917512,40,Male,Married-civ-spouse,Private,Exec-managerial,>50K
32,9,40,Male,Married-civ-spouse,Private,Craft-repair,<=50K
54,6,40,Male,Married-civ-spouse,Private,Handlers-cleaners,<=50K
36,12.564049718018374,40,Male,Married-civ-spouse,Private,Exec-managerial,>50K
39,13,40,Male,Never-married,Private,Prof-specialty,<=50K
18,7,15,Female,Never-married,Private,Sales,<=50K
28,13,65,Male,Never-married,Private,Sales,<=50K
54,10,40,Male,Married-civ-spouse,Self-emp-not-inc,Sales,<=50K
54,13,50,Male,Never-married,Local-gov,Prof-specialty,<=50K
36,10,48,Male,Married-civ-spouse,Private,Machine-op-inspct,<=50K
30,9,62,Male,Married-civ-spouse,Private,Exec-managerial,<=50K
43,11,25,Male,Divorced,Self-emp-not-inc,Exec-managerial,<=50K
26,10,50,Female,Never-married,Private,Priv-house-serv,<=50K
22,10,40,Female,Never-married,Private,Tech-support,<=50K
47,13,50,Male,Married-civ-spouse,Private,Prof-specialty,>50K
22,10,40,Male,Never-married,Private,Tech-support,<=50K
30,13.296990492142454,60,Female,Never-married,Private,Prof-specialty,<=50K
37,9,40,Male,Married-civ-spouse,Self-emp-not-inc,Craft-repair,<=50K
35,13.29679031396291,45,Male,Married-civ-spouse,Private,Prof-specialty,>50K
59,7.774837510515327,40,Male,Married-civ-spouse,Private,Craft-repair,<=50K
37,10,40,Female,Divorced,Private,Tech-support,<=50K
47,9,50,Male,Married-civ-spouse,Private,Adm-clerical,>50K
18,9,25,Male,Never-married,Private,Handlers-cleaners,<=50K
34,9.958823384391177,48,Male,Married-civ-spouse,Private,Craft-repair,>50K
34,16,60,Female,Never-married,State-gov,Prof-specialty,<=50K
44,8.956506892481073,36,Male,Never-married,Private,Transport-moving,<=50K
34,16,50,Male,Married-civ-spouse,Private,Prof-specialty,>50K
25,13,50,Male,Never-married,Private,Exec-managerial,<=50K
33,9.328491661737049,40,Male,Divorced,Local-gov,Craft-repair,<=50K
35,13,42.47194295547199,Male,Widowed,Federal-gov,Adm-clerical,>50K
27,14,35,Male,Never-married,Local-gov,Prof-specialty,<=50K
24,9,40,Male,Never-married,Private,Craft-repair,<=50K
32,11,45,Male,Never-married,Private,Craft-repair,<=50K
27,11.699367273722116,36.61942678359995,Female,Never-married,Private,Tech-support,<=50K
33,3,40,Female,Never-married,Private,Other-service,<=50K
33,9,40,Male,Never-married,Private,Adm-clerical,<=50K
23,10,40,Female,Divorced,Private,Sales,<=50K
33,10,40,Male,Married-civ-spouse,Private,Transport-moving,<=50K
45,6,70,Male,Married-civ-spouse,Self-emp-not-inc,Craft-repair,<=50K
45,14,43.84112763907576,Male,Married-civ-spouse,Local-gov,Prof-specialty,>50K
54,9,48,Male,Married-civ-spouse,Private,Craft-repair,>50K
29,7,20,Female,Divorced,Local-gov,Other-service,<=50K
51,15,47.811355724388605,Male,Never-married,Local-gov,Prof-specialty,<=50K
56,9,48.437688500395495,Male,Married-spouse-absent,Self-emp-not-inc,Exec-managerial,<=50K
40,11,40,Male,Married-civ-spouse,Private,Transport-moving,<=50K
28,10,60,Male,Married-civ-spouse,Private,Craft-repair,<=50K
30,13,40,Male,Never-married,Local-gov,Exec-managerial,<=50K
29,9.94996724573166,48.79306241424444,Male,Married-civ-spouse,Private,Exec-managerial,<=50K
21,9,35,Male,Never-married,Private,Other-service,<=50K
21,6,40,Male,Married-civ-spouse,Private,Craft-repair,<=50K
48,12,43.668390635914974,Male,Married-civ-spouse,Private,Craft-repair,<=50K
17,6,20,Female,Never-married,Private,Other-service,<=50K
32,5,40,Female,Separated,Private,Other-service,<=50K
66,9,40,Male,Separated,Private,Machine-op-inspct,<=50K
57,9,45.48964795920084,Male,Married-civ-spouse,Self-emp-not-inc,Sales,<=50K
45,14,35,Female,Divorced,Local-gov,Prof-specialty,<=50K
