age,education_num,hours_per_week,sex,marital_status,workclass,occupation,income
45,9,40,Female,Divorced,Private,Other-service,<=50K
41,10,47.12191404223609,Male,Married-civ-spouse,Private,Exec-managerial,>50K
32,9,40,Male,Married-civ-spouse,Private,Craft-repair,<=50K
54,6,40,Male,Married-civ-spouse,Private,Handlers-cleaners,<=50K
36,13,40,Male,Married-civ-spouse,Private,Exec-managerial,>50K
39,13,40,Male,Never-married,Private,Prof-specialty,<=50K
18,8.109597768686301,15,Female,Never-married,Private,Sales,<=50K
28,13,65,Male,Never-married,Private,Sales,<=50K
54,10,40,Male,Married-civ-spouse,Self-emp-not-inc,Sales,<=50K
54,13,50,Male,Never-married,Local-gov,Prof-specialty,<=50K
36,10,48,Male,Married-civ-spouse,Private,Machine-op-inspct,<=50K
30,9,62,Male,Married-civ-spouse,Private,Exec-managerial,<=50K
43,11.770374673541465,25,Male,Divorced,Self-emp-not-inc,Exec-managerial,<=50K
26,10,50,Female,Never-married,Private,Priv-house-serv,<=50K
22,10,40,Female,Never-married,Private,Tech-support,<=50K
47,13,50,Male,Married-civ-spouse,Private,Prof-specialty,>50K
22,10,40,Male,Never-married,Private,Tech-support,<=50K
30,13,60,Female,Never-married,Private,Prof-specialty,<=50K
37,9,40,Male,Married-civ-spouse,Self-emp-not-inc,Craft-repair,<=50K
35,15,47.28749463721732,Male,Married-civ-spouse,Private,Prof-specialty,>50K
59,9,40,Male,Married-civ-spouse,Private,Craft-repair,<=50K
37,10,40,Female,Divorced,Private,Tech-support,<=50K
47,9,43.63591940816714,Male,Married-civ-spouse,Private,Adm-clerical,>50K
18,9,25,Male,Never-married,Private,Handlers-cleaners,<=50K
34,9,48,Male,Married-civ-spouse,Private,Craft-repair,>50K
34,16,60,Female,Never-married,State-gov,Prof-specialty,<=50K
44,8,36,Male,Never-married,Private,Transport-moving,<=50K
34,16,50,Male,Married-civ-spouse,Private,Prof-specialty,>50K
25,13,50,Male,Never-married,Private,Exec-managerial,<=50K
33,9.18674092896918,40,Male,Divorced,Local-gov,Craft-repair,<=50K
35,13,40,Male,Widowed,Federal-gov,Adm-clerical,>50K
27,14,35,Male,Never-married,Local-gov,Prof-specialty,<=50K
24,9,40,Male,Never-married,Private,Craft-repair,<=50K
32,11,45,Male,Never-married,Private,Craft-repair,<=50K
27,13,36.28845066072352,Female,Never-married,Private,Tech-support,<=50K
33,3,40,Female,Never-married,Private,Other-service,<=50K
33,9,40,Male,Never-married,Private,Adm-clerical,<=50K
23,9.927786876761816,40,Female,Divorced,Private,Sales,<=50K
33,8.668885814476898,40,Male,Married-civ-spouse,Private,Transport-moving,<=50K
45,6,70,Male,Married-civ-spouse,Self-emp-not-inc,Craft-repair,<=50K
45,14,37,Male,Married-civ-spouse,Local-gov,Prof-specialty,>50K
54,11.083200159648454,48,Male,Married-civ-spouse,Private,Craft-repair,>50K
29,9.665139816728939,20,Female,Divorced,Private,Other-service,<=50K
51,15,40,Male,Never-married,State-gov,Prof-specialty,<=50K
56,9,70,Male,Married-spouse-absent,Self-emp-not-inc,Exec-managerial,<=50K
40,11,40,Male,Married-civ-spouse,Private,Transport-moving,<=50K
28,10,60,Male,Married-civ-spouse,Private,Craft-repair,<=50K
30,13,40,Male,Never-married,Local-gov,Exec-managerial,<=50K
29,10,40,Male,Married-civ-spouse,Self-emp-inc,Exec-managerial,<=50K
21,9,35,Male,Never-married,Private,Other-service,<=50K
21,6,40,Male,Married-civ-spouse,Private,Craft-repair,<=50K
48,12,45,Male,Married-civ-spouse,Private,Craft-repair,<=50K
17,6,20,Female,Never-married,Private,Other-service,<=50K
32,9.125751365058967,40,Female,Separated,Private,Other-service,<=50K
66,9,40,Male,Separated,Private,Machine-op-inspct,<=50K
57,9.127959136639028,48,Male,Married-civ-spouse,Self-emp-not-inc,Sales,<=50K
45,14,35,Female,Divorced,Local-gov,Prof-specialty,<=50K
45,11.608583693094381,8,Male,Married-civ-spouse,Private,Prof-specialty,<=50K
29,13,50,Male,Married-civ-spouse,Private,Exec-managerial,>50K
36,10,40,Male,Married-civ-spouse,Private,Machine-op-inspct,<=50K
19,10,4,Female,Never-married,Private,Other-service,<=50K
30,10.390993160389389,62,Female,Divorced,Private,Adm-clerical,<=50K
18,9,20,Female,Never-married,Private,Craft-repair,<=50K
59,12.735846312649691,20,Male,Divorced,Self-emp-not-inc,Prof-specialty,<=50K
44,9,60,Female,Married-civ-spouse,Self-emp-inc,Sales,<=50K
39,9,44,Male,Never-married,Private,Tech-support,<=50K
39,8,45.78125641562572,Male,Married-civ-spouse,Private,Transport-moving,>50K
46,10,60,Female,Widowed,Private,Adm-clerical,<=50K
28,13,15,Female,Married-civ-spouse,Private,Other-service,<=50K
72,7,27.328481811986926,Female,Widowed,Private,Adm-clerical,<=50K
47,13,50,Male,Married-civ-spouse,Self-emp-inc,Exec-managerial,>50K
