variable,type,levels,description,source
A1,categorical,"a, b",Attribute 1,UCI  
A2,numeric,,Attribute 2,UCI  
A3,numeric,,Attribute 3,UCI  
A4,categorical,"p, g",Attribute 4,UCI  
A5,categorical,"ff, t",Attribute 5,UCI  
A6,categorical,"ff, t",Attribute 6,UCI  
A7,numeric,,Attribute 7,UCI  
A8,categorical,"t, f",Attribute 8,UCI  
A9,categorical,"t, f",Attribute 9,UCI  
A10,numeric,,Attribute 10,UCI  
A11,categorical,"t, f",Attribute 11,UCI  
A12,categorical,"t, f",Attribute 12,UCI  
A13,numeric,,Attribute 13,UCI  
A14,numeric,,Attribute 14,UCI  
A15,binary,"+, -","Class (target)",UCI  
