age,sex,job,housing,saving_accounts,checking_account,credit_amount,duration,purpose
67.0,male,2,own,,little,1169.0,6.0,radio/TV
22.0,female,2,own,little,moderate,5951.0,48.0,radio/TV
49.0,male,1,own,little,,2096.0,12.0,education
45.0,male,2,free,little,little,7882.0,42.0,furniture/equipment
53.0,male,2,free,little,little,4870.0,24.0,car
35.0,male,1,free,,,9055.0,36.0,education
53.0,male,2,own,quite rich,,2835.0,24.0,furniture/equipment
35.0,male,3,rent,little,moderate,6948.0,36.0,car
61.0,male,1,own,rich,,3059.0,12.0,radio/TV
28.0,male,3,own,little,moderate,5234.0,30.0,car
25.0,female,2,rent,little,moderate,1295.0,12.0,car
24.0,female,2,rent,little,little,4308.0,48.0,business
22.0,female,2,own,little,moderate,1567.0,12.0,radio/TV
60.0,male,1,own,little,little,1199.0,24.0,car
28.0,female,2,rent,little,little,1403.0,15.0,car
32.0,female,1,own,moderate,little,1282.0,24.0,radio/TV
53.0,male,2,own,,,2424.0,24.0,radio/TV
25.0,male,2,own,,little,8072.0,30.0,business
44.0,female,3,free,little,moderate,12579.0,24.0,car
31.0,male,2,own,quite rich,,3430.0,24.0,radio/TV
48.0,male,2,own,little,,2134.0,9.0,car
44.0,male,2,rent,quite rich,little,2647.0,6.0,radio/TV
48.0,male,1,rent,little,little,2241.0,10.0,car
44.0,male,2,own,moderate,moderate,1804.0,12.0,car
26.0,male,2,own,,,2069.0,10.0,furniture/equipment
36.0,male,1,own,little,little,1374.0,6.0,furniture/equipment
39.0,male,1,own,little,,426.0,6.0,radio/TV
42.0,female,2,rent,rich,rich,409.0,12.0,radio/TV
34.0,male,2,own,little,moderate,2415.0,7.0,radio/TV
63.0,male,2,own,little,little,6836.0,60.0,business
36.0,male,2,own,rich,moderate,1913.0,18.0,business
27.0,male,2,own,little,little,4020.0,24.0,furniture/equipment
30.0,male,2,own,moderate,moderate,5866.0,18.0,car
57.0,male,1,rent,,,1264.0,12.0,business
33.0,female,3,own,little,rich,1474.0,12.0,furniture/equipment
25.0,male,1,own,little,moderate,4746.0,45.0,radio/TV
31.0,male,2,free,little,,6110.0,48.0,education
37.0,male,2,own,little,rich,2100.0,18.0,radio/TV
37.0,male,2,own,little,rich,1225.0,10.0,domestic appliances
24.0,male,2,own,little,moderate,458.0,9.0,radio/TV
30.0,male,3,own,quite rich,,2333.0,30.0,radio/TV
26.0,male,2,own,quite rich,moderate,1158.0,12.0,radio/TV
44.0,male,1,own,little,moderate,6204.0,18.0,repairs
24.0,male,2,rent,moderate,little,6187.0,30.0,car
58.0,female,1,free,little,little,6143.0,48.0,car
35.0,female,3,own,little,,1393.0,11.0,car
39.0,male,2,own,quite rich,,2299.0,36.0,radio/TV
23.0,female,0,rent,quite rich,little,1352.0,6.0,car
39.0,male,1,own,little,,7228.0,11.0,car
28.0,female,2,own,moderate,,2073.0,12.0,radio/TV
29.0,male,1,own,,moderate,2333.0,24.0,furniture/equipment
30.0,male,3,own,little,moderate,5965.0,27.0,car
25.0,male,2,own,little,,1262.0,12.0,radio/TV
31.0,male,2,own,,,3378.0,18.0,car
57.0,male,2,free,little,moderate,2225.0,36.0,car
26.0,male,1,own,,,783.0,6.0,car
52.0,male,3,own,,moderate,6468.0,12.0,radio/TV
31.0,female,2,own,little,,9566.0,36.0,radio/TV
23.0,female,3,own,little,rich,1961.0,18.0,car
23.0,female,1,rent,little,little,6229.0,36.0,furniture/equipment
27.0,male,2,own,little,moderate,1391.0,9.0,business
50.0,male,2,own,,moderate,1537.0,15.0,radio/TV
61.0,male,3,free,little,moderate,1953.0,36.0,business
25.0,male,2,own,little,moderate,14421.0,48.0,business
26.0,female,2,own,little,,3181.0,24.0,radio/TV
48.0,male,2,own,,,5190.0,27.0,repairs
29.0,female,2,own,little,,2171.0,12.0,radio/TV
22.0,male,2,own,rich,moderate,1007.0,12.0,car
37.0,male,2,free,little,,1819.0,36.0,education
25.0,female,2,own,,,2394.0,36.0,radio/TV
30.0,female,2,own,little,,8133.0,36.0,car
46.0,male,1,rent,,,730.0,7.0,radio/TV
51.0,male,3,free,little,little,1164.0,8.0,vacation/others
41.0,female,1,own,little,moderate,5954.0,42.0,business
40.0,male,3,own,,little,1977.0,36.0,education
66.0,male,3,free,little,little,1526.0,12.0,car
34.0,male,2,own,little,little,3965.0,42.0,radio/TV
51.0,male,2,own,little,moderate,4771.0,11.0,radio/TV
39.0,male,1,own,,,9436.0,54.0,car
22.0,male,2,own,little,moderate,3832.0,30.0,furniture/equipment
44.0,female,2,own,,,5943.0,24.0,radio/TV
47.0,male,2,own,quite rich,,1213.0,15.0,radio/TV
24.0,female,1,rent,moderate,,1568.0,18.0,business
58.0,female,1,own,little,little,1755.0,24.0,vacation/others
52.0,male,1,own,little,little,2315.0,10.0,radio/TV
29.0,female,3,own,little,,1412.0,12.0,business
27.0,female,2,own,little,moderate,1295.0,18.0,furniture/equipment
47.0,male,2,free,moderate,moderate,12612.0,36.0,education
30.0,male,3,own,moderate,little,2249.0,18.0,car
28.0,male,2,own,little,little,1108.0,12.0,repairs
56.0,male,2,own,little,,618.0,12.0,radio/TV
54.0,male,2,own,little,little,1409.0,12.0,car
33.0,female,1,own,,,797.0,12.0,radio/TV
