age,education_num,hours_per_week,sex,marital_status,workclass,occupation,income
44,14,50,Male,Married-civ-spouse,Private,Adm-clerical,0
48,9,40,Male,Never-married,Private,Sales,0
67,13,40,Female,Widowed,Federal-gov,Adm-clerical,0
26,9,40,Female,Separated,Private,Adm-clerical,0
21,9,45,Male,Never-married,Private,Sales,0
45,9,40,Male,Never-married,Private,Machine-op-inspct,0
69,4,20,Male,Married-civ-spouse,Private,Other-service,0
39,10,40,Male,Never-married,Private,Adm-clerical,0
18,9,40,Male,Never-married,Self-emp-not-inc,Farming-fishing,0
23,9,40,Female,Never-married,Private,Adm-clerical,0
50,10,40,Male,Divorced,Self-emp-inc,Protective-serv,0
52,7,40,Male,Widowed,Private,Craft-repair,0
47,10,40,Male,Never-married,Private,Other-service,0
44,9,38,Female,Married-civ-spouse,Private,Adm-clerical,0
66,13,50,Male,Married-civ-spouse,Self-emp-not-inc,Sales,0
53,12,40,Male,Married-civ-spouse,Private,Exec-managerial,1
18,8,20,Female,Never-married,Private,Sales,0
47,9,30,Male,Married-civ-spouse,Private,Sales,1
56,9,45,Male,Married-civ-spouse,Self-emp-not-inc,Farming-fishing,0
27,6,40,Male,Married-civ-spouse,Private,Machine-op-inspct,0
52,9,40,Male,Married-civ-spouse,Private,Craft-repair,0
53,14,50,Female,Married-civ-spouse,Private,Exec-managerial,1
47,9,45,Male,Married-civ-spouse,Private,Transport-moving,1
24,10,24,Male,Married-civ-spouse,State-gov,Other-service,0
28,14,30,Female,Married-civ-spouse,Self-emp-not-inc,Exec-managerial,1
44,2,40,Female,Never-married,Private,Machine-op-inspct,0
55,14,45,Female,Widowed,Local-gov,Prof-specialty,0
37,12,50,Male,Married-civ-spouse,Self-emp-inc,Sales,1
30,13,40,Male,Married-civ-spouse,Private,Craft-repair,0
30,13,40,Male,Married-civ-spouse,Private,Tech-support,0
33,9,40,Male,Married-civ-spouse,Private,Sales,0
25,9,40,Female,Never-married,Private,Adm-clerical,0
31,5,43,Male,Never-married,Private,Sales,1
43,9,40,Male,Divorced,Private,Machine-op-inspct,0
42,10,40,Female,Never-married,Private,Transport-moving,0
21,10,10,Male,Never-married,State-gov,Tech-support,0
41,13,40,Male,Married-civ-spouse,Private,Sales,0
19,9,37,Female,Never-married,Private,Handlers-cleaners,0
35,4,40,Male,Married-civ-spouse,Private,Tech-support,0
21,9,45,Female,Never-married,Private,Adm-clerical,0
32,9,60,Female,Never-married,Self-emp-not-inc,Other-service,0
22,9,40,Male,Never-married,Private,Craft-repair,0
52,10,55,Male,Married-civ-spouse,Private,Craft-repair,0
42,10,40,Male,Married-civ-spouse,Local-gov,Craft-repair,0
31,7,65,Male,Married-civ-spouse,Private,Farming-fishing,0
36,13,45,Male,Married-civ-spouse,Self-emp-not-inc,Sales,0
43,9,50,Male,Married-civ-spouse,Private,Transport-moving,0
33,13,60,Male,Married-civ-spouse,Private,Sales,1
36,9,70,Male,Married-civ-spouse,Private,Craft-repair,0
44,9,40,Female,Married-civ-spouse,Self-emp-not-inc,Sales,1
44,13,60,Male,Married-civ-spouse,Private,Prof-specialty,0
44,9,40,Male,Married-civ-spouse,Private,Craft-repair,0
41,9,40,Male,Married-civ-spouse,Private,Craft-repair,1
41,9,55,Male,Divorced,Private,Handlers-cleaners,0
