"age","education_num","hours_per_week","workclass","marital_status","occupation","sex","income"
45,9,38.9223190307617,"workclass_Private","marital_status_Divorced","occupation_Other-service","sex_Female","income_<=50K"
41,10.1108154296875,40,"workclass_Private","marital_status_Married-civ-spouse","occupation_Exec-managerial","sex_Male","income_>50K"
32,9,40,"workclass_Private","marital_status_Married-civ-spouse","occupation_Craft-repair","sex_Male","income_<=50K"
54,6,40,"workclass_Private","marital_status_Married-civ-spouse","occupation_Handlers-cleaners","sex_Male","income_<=50K"
36,9.99000854492187,40,"workclass_Private","marital_status_Married-civ-spouse","occupation_Exec-managerial","sex_Male","income_>50K"
39,13,40,"workclass_Private","marital_status_Never-married","occupation_Prof-specialty","sex_Male","income_<=50K"
18,7,15,"workclass_Private","marital_status_Never-married","occupation_Sales","sex_Female","income_<=50K"
28,13,65,"workclass_Private","marital_status_Never-married","occupation_Sales","sex_Male","income_<=50K"
54,10,40,"workclass_Self-emp-not-inc","marital_status_Married-civ-spouse","occupation_Sales","sex_Male","income_<=50K"
54,13,50,"workclass_Local-gov","marital_status_Never-married","occupation_Prof-specialty","sex_Male","income_<=50K"
36,10,48,"workclass_Private","marital_status_Married-civ-spouse","occupation_Machine-op-inspct","sex_Male","income_<=50K"
30,9,62,"workclass_Private","marital_status_Married-civ-spouse","occupation_Exec-managerial","sex_Male","income_<=50K"
43,11,25,"workclass_Self-emp-not-inc","marital_status_Divorced","occupation_Exec-managerial","sex_Male","income_<=50K"
26,10,50,"workclass_Private","marital_status_Never-married","occupation_Priv-house-serv","sex_Female","income_<=50K"
22,10,40,"workclass_Private","marital_status_Never-married","occupation_Tech-support","sex_Female","income_<=50K"
47,13,50,"workclass_Private","marital_status_Married-civ-spouse","occupation_Prof-specialty","sex_Male","income_>50K"
22,10,40,"workclass_Private","marital_status_Never-married","occupation_Tech-support","sex_Male","income_<=50K"
30,10.2250305175781,60,"workclass_Private","marital_status_Never-married","occupation_Prof-specialty","sex_Female","income_<=50K"
37,9,40,"workclass_Self-emp-not-inc","marital_status_Married-civ-spouse","occupation_Craft-repair","sex_Male","income_<=50K"
35,9.3040225982666,45,"workclass_Private","marital_status_Married-civ-spouse","occupation_Prof-specialty","sex_Male","income_>50K"
