age,education_num,hours_per_week,workclass,marital_status,occupation,sex,income
45.00000000000001,9.0,40.0,Private,status_Divorced,Other-service,Female,<=50K
41.00000000000001,10.0,43.995251584053044,Private,status_Married-civ-spouse,Exec-managerial,Male,>50K
32.0,9.0,40.0,Private,status_Married-civ-spouse,Craft-repair,Male,<=50K
54.000000000000014,6.0,40.0,Private,status_Married-civ-spouse,Handlers-cleaners,Male,<=50K
36.0,13.0,40.0,Private,status_Married-civ-spouse,Exec-managerial,Male,>50K
38.99999999999999,13.0,40.0,Private,status_Never-married,Prof-specialty,Male,<=50K
18.0,11.25342470407486,14.999999999999996,Private,status_Never-married,Sales,Female,<=50K
28.0,13.0,65.0,Private,status_Never-married,Sales,Male,<=50K
54.000000000000014,10.0,40.0,Self-emp-not-inc,status_Married-civ-spouse,Sales,Male,<=50K
54.000000000000014,13.0,50.00000000000001,Local-gov,status_Never-married,Prof-specialty,Male,<=50K
36.0,10.0,48.0,Private,status_Married-civ-spouse,Machine-op-inspct,Male,<=50K
30.0,9.0,62.0,Private,status_Married-civ-spouse,Exec-managerial,Male,<=50K
42.99999999999999,10.168175041675568,25.000000000000004,Self-emp-not-inc,status_Divorced,Exec-managerial,Male,<=50K
26.0,10.0,50.00000000000001,Private,status_Never-married,Priv-house-serv,Female,<=50K
22.0,10.0,40.0,Private,status_Never-married,Tech-support,Female,<=50K
46.99999999999999,13.0,50.00000000000001,Private,status_Married-civ-spouse,Prof-specialty,Male,>50K
22.0,10.0,40.0,Private,status_Never-married,Tech-support,Male,<=50K
30.0,13.0,59.999999999999986,Private,status_Never-married,Prof-specialty,Female,<=50K
37.00000000000001,9.0,40.0,Self-emp-not-inc,status_Married-civ-spouse,Craft-repair,Male,<=50K
35.0,15.0,47.15065441131592,Private,status_Married-civ-spouse,Prof-specialty,Male,>50K
58.999999999999986,9.0,40.0,Private,status_Married-civ-spouse,Craft-repair,Male,<=50K
37.00000000000001,10.0,40.0,Private,status_Divorced,Tech-support,Female,<=50K
46.99999999999999,9.0,44.43935053348542,Private,status_Married-civ-spouse,Adm-clerical,Male,>50K
18.0,9.0,25.000000000000004,Private,status_Never-married,Handlers-cleaners,Male,<=50K
34.0,9.0,48.0,Private,status_Married-civ-spouse,Craft-repair,Male,>50K
34.0,16.0,59.999999999999986,State-gov,status_Never-married,Prof-specialty,Female,<=50K
44.0,8.0,36.0,Private,status_Never-married,Transport-moving,Male,<=50K
34.0,16.0,50.00000000000001,Private,status_Married-civ-spouse,Prof-specialty,Male,>50K
25.0,13.0,50.00000000000001,Private,status_Never-married,Exec-managerial,Male,<=50K
33.0,8.914008438587189,40.0,Local-gov,status_Divorced,Craft-repair,Male,<=50K
35.0,13.0,40.0,Federal-gov,status_Widowed,Adm-clerical,Male,>50K
27.0,14.0,35.0,Local-gov,status_Never-married,Prof-specialty,Male,<=50K
24.0,9.0,40.0,Private,status_Never-married,Craft-repair,Male,<=50K
32.0,11.0,45.0,Private,status_Never-married,Craft-repair,Male,<=50K
27.0,13.0,41.34326390028001,Private,status_Never-married,Tech-support,Female,<=50K
33.0,3.0,40.0,Private,status_Never-married,Other-service,Female,<=50K
33.0,9.0,40.0,Private,status_Never-married,Adm-clerical,Male,<=50K
23.0,10.760540544986725,40.0,Private,status_Divorced,Sales,Female,<=50K
33.0,8.294456422328949,40.0,Private,status_Married-civ-spouse,Transport-moving,Male,<=50K
45.00000000000001,6.0,70.0,Self-emp-not-inc,status_Married-civ-spouse,Craft-repair,Male,<=50K
45.00000000000001,14.0,37.0,Local-gov,status_Married-civ-spouse,Prof-specialty,Male,>50K
54.000000000000014,10.18406131863594,48.0,Private,status_Married-civ-spouse,Craft-repair,Male,>50K
29.0,9.880549788475037,20.0,Private,status_Divorced,Other-service,Female,<=50K
50.99999999999999,15.0,40.0,Private,status_Never-married,Prof-specialty,Male,<=50K
56.0,9.0,70.0,Self-emp-not-inc,status_Married-spouse-absent,Exec-managerial,Male,<=50K
40.0,11.0,40.0,Private,status_Married-civ-spouse,Transport-moving,Male,<=50K
28.0,10.0,59.999999999999986,Private,status_Married-civ-spouse,Craft-repair,Male,<=50K
30.0,13.0,40.0,Local-gov,status_Never-married,Exec-managerial,Male,<=50K
29.0,10.0,40.0,Private,status_Married-civ-spouse,Exec-managerial,Male,<=50K
21.0,9.0,35.0,Private,status_Never-married,Other-service,Male,<=50K
21.0,6.0,40.0,Private,status_Married-civ-spouse,Craft-repair,Male,<=50K
48.0,12.0,45.0,Private,status_Married-civ-spouse,Craft-repair,Male,<=50K
17.0,6.0,20.0,Private,status_Never-married,Other-service,Female,<=50K
32.0,7.8909487426280975,40.0,Private,status_Separated,Other-service,Female,<=50K
66.00000000000001,9.0,40.0,Private,status_Separated,Machine-op-inspct,Male,<=50K
57.000000000000014,11.945290863513947,48.0,Self-emp-not-inc,status_Married-civ-spouse,Sales,Male,<=50K
45.00000000000001,14.0,35.0,Local-gov,status_Divorced,Prof-specialty,Female,<=50K
45.00000000000001,12.192275643348694,8.0,Private,status_Married-civ-spouse,Prof-specialty,Male,<=50K
29.0,13.0,50.00000000000001,Private,status_Married-civ-spouse,Exec-managerial,Male,>50K
36.0,10.0,40.0,Private,status_Married-civ-spouse,Machine-op-inspct,Male,<=50K
19.0,10.0,4.0,Private,status_Never-married,Other-service,Female,<=50K
30.0,10.450734674930573,62.0,Private,status_Divorced,Adm-clerical,Female,<=50K
18.0,9.0,20.0,Private,status_Never-married,Craft-repair,Female,<=50K
58.999999999999986,11.164461016654968,20.0,Self-emp-not-inc,status_Divorced,Prof-specialty,Male,<=50K
44.0,9.0,59.999999999999986,Self-emp-inc,status_Married-civ-spouse,Sales,Female,<=50K
38.99999999999999,9.0,44.0,Private,status_Never-married,Tech-support,Male,<=50K
38.99999999999999,8.0,42.43875100612641,Private,status_Married-civ-spouse,Transport-moving,Male,>50K
46.0,10.0,59.999999999999986,Private,status_Widowed,Adm-clerical,Female,<=50K
28.0,13.0,14.999999999999996,Private,status_Married-civ-spouse,Other-service,Female,<=50K
72.0,7.0,33.93740047216416,Private,status_Widowed,Adm-clerical,Female,<=50K
46.99999999999999,13.0,50.00000000000001,Self-emp-inc,status_Married-civ-spouse,Exec-managerial,Male,>50K
34.0,7.0,59.999999999999986,Private,status_Divorced,Transport-moving,Male,<=50K
30.0,9.98974609375,40.0,Private,status_Never-married,Handlers-cleaners,Male,<=50K
24.0,13.0,45.0,Private,status_Married-civ-spouse,Sales,Male,>50K
30.0,13.0,40.0,Private,status_Never-married,Prof-specialty,Male,<=50K
34.0,10.0,40.0,Private,status_Married-civ-spouse,Machine-op-inspct,Male,>50K
50.99999999999999,13.0,40.0,Self-emp-inc,status_Married-civ-spouse,Exec-managerial,Male,>50K
41.00000000000001,9.0,40.0,Private,status_Divorced,Transport-moving,Male,<=50K
40.0,10.186763644218445,40.0,Private,status_Married-civ-spouse,Sales,Male,<=50K
52.0,9.0,44.841494667530064,Private,status_Married-civ-spouse,Machine-op-inspct,Male,>50K
32.0,10.0,40.0,Private,status_Never-married,Exec-managerial,Male,<=50K
35.0,9.0,35.0,Private,status_Divorced,Other-service,Female,<=50K
71.0,10.0,49.42836074829102,Self-emp-inc,status_Married-civ-spouse,Exec-managerial,Male,>50K
46.99999999999999,13.0,41.909466695785525,Federal-gov,status_Divorced,Prof-specialty,Male,<=50K
34.0,8.672243773937225,45.0,Private,status_Married-civ-spouse,Transport-moving,Male,<=50K
23.0,11.0,40.0,Private,status_Never-married,Tech-support,Male,<=50K
23.0,10.0,24.0,Private,status_Never-married,Adm-clerical,Female,<=50K
38.0,13.0,45.0,Private,status_Married-civ-spouse,Prof-specialty,Male,>50K
38.99999999999999,16.0,40.0,Self-emp-not-inc,status_Divorced,Adm-clerical,Male,<=50K
27.0,15.0,12.0,Private,status_Divorced,Prof-specialty,Female,<=50K
38.0,9.50847589969635,40.0,Private,status_Divorced,Craft-repair,Male,<=50K
27.0,13.0,36.0,Private,status_Never-married,Prof-specialty,Female,<=50K
29.0,10.181389927864075,18.0,Private,status_Married-civ-spouse,Sales,Female,<=50K
33.0,11.1328164935112,40.0,Private,status_Married-civ-spouse,Tech-support,Male,<=50K
62.000000000000014,13.0,59.999999999999986,Private,status_Married-civ-spouse,Sales,Male,>50K
34.0,7.0,40.0,Private,status_Never-married,Machine-op-inspct,Male,<=50K
42.99999999999999,10.0,70.0,Self-emp-inc,status_Married-civ-spouse,Exec-managerial,Male,>50K
48.0,11.60544639825821,29.999999999999993,Self-emp-not-inc,status_Married-civ-spouse,Exec-managerial,Male,>50K
46.99999999999999,15.0,40.0,Self-emp-not-inc,status_Married-civ-spouse,Prof-specialty,Male,>50K
22.0,13.0,29.999999999999993,Private,status_Never-married,Exec-managerial,Female,<=50K
46.99999999999999,9.0,40.0,Private,status_Married-civ-spouse,Craft-repair,Male,<=50K
61.000000000000014,4.0,40.0,Private,status_Married-civ-spouse,Transport-moving,Male,<=50K
23.0,13.0,40.0,Private,status_Never-married,Handlers-cleaners,Male,<=50K
60.0,13.0,38.97958071231842,State-gov,status_Divorced,Prof-specialty,Female,<=50K
34.0,9.0,40.0,Private,status_Never-married,Transport-moving,Male,<=50K
70.00000000000001,12.010564386844635,16.0,Self-emp-inc,status_Married-civ-spouse,Exec-managerial,Male,<=50K
17.0,7.0,29.999999999999993,Private,status_Never-married,Handlers-cleaners,Male,<=50K
58.999999999999986,15.0,25.000000000000004,Self-emp-not-inc,status_Married-civ-spouse,Sales,Male,<=50K
25.0,11.531456589698792,20.0,Private,status_Never-married,Sales,Male,<=50K
34.0,13.0,40.0,Local-gov,status_Married-civ-spouse,Protective-serv,Male,>50K
72.0,10.0,35.0,Self-emp-not-inc,status_Married-civ-spouse,Craft-repair,Male,<=50K
46.99999999999999,7.0,58.000000000000014,Private,status_Married-civ-spouse,Adm-clerical,Male,<=50K
56.0,10.0,45.0,Private,status_Married-civ-spouse,Sales,Male,>50K
46.99999999999999,13.0,25.000000000000004,Private,status_Divorced,Other-service,Female,<=50K
50.99999999999999,13.0,40.0,Private,status_Separated,Adm-clerical,Female,<=50K
28.0,9.0,40.0,Private,status_Married-civ-spouse,Machine-op-inspct,Male,<=50K
18.0,9.34916090965271,4.0,Self-emp-not-inc,status_Never-married,Other-service,Female,<=50K
53.000000000000014,14.0,42.65968480110169,Private,status_Never-married,Exec-managerial,Female,>50K
61.000000000000014,9.049864828586578,40.0,Private,status_Married-civ-spouse,Machine-op-inspct,Male,<=50K
24.0,9.0,37.98268231153489,Private,status_Married-civ-spouse,Transport-moving,Female,<=50K
26.0,14.0,40.0,State-gov,status_Never-married,Exec-managerial,Female,<=50K
30.0,7.0,40.0,Self-emp-not-inc,status_Never-married,Farming-fishing,Male,<=50K
48.0,14.0,47.749207830429086,Self-emp-not-inc,status_Married-civ-spouse,Exec-managerial,Male,>50K
52.0,13.0,50.00000000000001,Private,status_Married-civ-spouse,Exec-managerial,Male,>50K
46.99999999999999,10.0,20.0,Self-emp-not-inc,status_Married-civ-spouse,Prof-specialty,Male,<=50K
34.0,13.0,40.0,Local-gov,status_Never-married,Prof-specialty,Female,<=50K
69.0,8.0,59.999999999999986,Private,status_Married-civ-spouse,Transport-moving,Male,>50K
62.000000000000014,9.0,40.0,Private,status_Married-civ-spouse,Transport-moving,Male,<=50K
31.0,13.0,40.0,Private,status_Married-civ-spouse,Prof-specialty,Male,<=50K
46.99999999999999,10.0,40.0,Private,status_Married-civ-spouse,Handlers-cleaners,Male,<=50K
21.0,8.836346596479416,22.0,Private,status_Never-married,Other-service,Male,<=50K
27.0,11.0,40.0,Private,status_Married-civ-spouse,Craft-repair,Male,<=50K
49.00000000000001,9.962181389331818,40.0,Private,status_Married-civ-spouse,Craft-repair,Male,<=50K
46.99999999999999,13.0,70.0,Local-gov,status_Separated,Prof-specialty,Female,<=50K
42.99999999999999,10.0,40.0,Private,status_Married-spouse-absent,Other-service,Female,<=50K
46.99999999999999,15.0,40.0,Private,status_Married-civ-spouse,Exec-managerial,Male,>50K
28.0,11.0,40.0,Private,status_Never-married,Prof-specialty,Female,<=50K
61.000000000000014,8.063279151916504,56.0,Self-emp-not-inc,status_Married-civ-spouse,Farming-fishing,Male,<=50K
25.0,13.0,48.0,Private,status_Never-married,Sales,Male,<=50K
50.0,14.0,40.0,Self-emp-not-inc,status_Married-civ-spouse,Prof-specialty,Female,>50K
20.0,9.0,29.999999999999993,Private,status_Never-married,Adm-clerical,Male,<=50K
50.0,11.0,50.00000000000001,Self-emp-not-inc,status_Never-married,Other-service,Male,<=50K
46.0,9.0,70.0,Private,status_Married-civ-spouse,Transport-moving,Male,<=50K
22.0,10.0,34.01747123003007,Private,status_Never-married,Sales,Female,<=50K
27.0,13.0,14.999999999999996,Private,status_Never-married,Tech-support,Female,<=50K
29.0,10.04099953174591,52.0,Private,status_Divorced,Craft-repair,Female,<=50K
42.0,7.0,40.0748990058899,Private,status_Divorced,Sales,Male,<=50K
40.0,10.0,40.0,Private,status_Married-civ-spouse,Craft-repair,Male,<=50K
36.0,12.0,44.09593029022217,Private,status_Married-civ-spouse,Craft-repair,Male,>50K
61.000000000000014,8.871111512184143,40.0,Private,status_Married-civ-spouse,Transport-moving,Male,<=50K
32.0,12.0,42.55690733194352,Private,status_Married-civ-spouse,Exec-managerial,Female,>50K
45.00000000000001,14.0,47.07543540000916,Private,status_Married-civ-spouse,Prof-specialty,Male,>50K
60.0,9.0,40.0,Private,status_Married-civ-spouse,Exec-managerial,Male,>50K
23.0,7.0,40.0,Private,status_Married-civ-spouse,Other-service,Male,<=50K
62.999999999999986,8.0,40.0,Private,status_Married-civ-spouse,Transport-moving,Male,<=50K
32.0,10.0,20.0,Private,status_Never-married,Tech-support,Female,<=50K
