Dataset,NClusters,MissingRate,Category,Winner_Method,Winner_ARI,Precluster_Winner_Method,Precluster_Winner_ARI
Stars,2.0,0.05,MissingRate_0.05,missForest,0.9340695560397744,missForest,0.9340695560397744
Stars,2.0,0.1,MissingRate_0.1,missForest,0.9178368316864128,missForest,0.9178368316864128
Stars,2.0,0.15,MissingRate_0.15,missForest,0.917923583721861,missForest,0.917923583721861
Weather,5.0,0.05,MissingRate_0.05,missForest,0.9750196186990184,missForest,0.9750196186990184
Stars,3.0,0.05,MissingRate_0.05,MICE,0.7256376095927901,missForest,0.3953336252617062
Stars,3.0,0.1,MissingRate_0.1,missForest,0.7930722175025978,missForest,0.7930722175025978
Stars,3.0,0.15,MissingRate_0.15,FAMD,0.4028139950175537,missForest,0.3897875663092429
Weather,2.0,0.05,MissingRate_0.05,missForest,0.983401476967836,missForest,0.983401476967836
Weather,3.0,0.05,MissingRate_0.05,missForest,0.9684853092153604,missForest,0.9684853092153604
Stars,5.0,0.05,MissingRate_0.05,MICE,0.9128039214120772,missForest,0.8778235321747216
Stars,5.0,0.1,MissingRate_0.1,missForest,0.9343285501103008,missForest,0.9343285501103008
Stars,5.0,0.15,MissingRate_0.15,missForest,0.8867453395084812,missForest,0.8867453395084812
Hypertension,5.0,0.05,MissingRate_0.05,FAMD,0.6130128713040178,missForest,0.5650661383183399
Hypertension,5.0,0.1,MissingRate_0.1,missForest,0.7924111295573356,FAMD,0.5097119299780607
Hypertension,5.0,0.15,MissingRate_0.15,missForest,0.6479175672967594,FAMD,0.3365047150508065
Wine.White,3.0,0.05,MissingRate_0.05,missForest,0.8809082490284356,missForest,0.8809082490284356
Wine.White,3.0,0.1,MissingRate_0.1,missForest,0.8293491962001026,missForest,0.8293491962001026
Wine.White,3.0,0.15,MissingRate_0.15,MICE,0.7180414643108582,missForest,0.7026954329652545
Wine.White,2.0,0.05,MissingRate_0.05,MICE,0.2765039639182834,missForest,0.271402859169047
Wine.White,2.0,0.1,MissingRate_0.1,missForest,0.2513094818749011,missForest,0.2513094818749011
Wine.White,2.0,0.15,MissingRate_0.15,MICE,0.2129862178455966,missForest,0.0457402427605573
Wine.Red,5.0,0.05,MissingRate_0.05,missForest,0.8838302096655892,missForest,0.8838302096655892
Wine.Red,5.0,0.1,MissingRate_0.1,FAMD,0.7853311737631453,missForest,0.707034807899988
Wine.Red,5.0,0.15,MissingRate_0.15,missForest,0.7869598587945382,missForest,0.7869598587945382
Hypertension,3.0,0.05,MissingRate_0.05,FAMD,0.905816666590886,missForest,0.8954127069850574
Hypertension,3.0,0.1,MissingRate_0.1,FAMD,0.829045806884282,FAMD,0.829045806884282
Hypertension,3.0,0.15,MissingRate_0.15,MICE,0.6928454183354167,FAMD,0.2956856615064805
Wine.White,5.0,0.05,MissingRate_0.05,missForest,0.8457679103950486,missForest,0.8457679103950486
Wine.White,5.0,0.1,MissingRate_0.1,missForest,0.8123310810509656,missForest,0.8123310810509656
Wine.White,5.0,0.15,MissingRate_0.15,missForest,0.7603525716836403,missForest,0.7603525716836403
Hypertension,2.0,0.05,MissingRate_0.05,MICE,0.91739061711811,missForest,0.9173906031723796
Hypertension,2.0,0.1,MissingRate_0.1,MICE,0.8507480919028769,FAMD,0.8321696350471878
Hypertension,2.0,0.15,MissingRate_0.15,MICE,0.7221222014017334,FAMD,0.7192615864456008
Wine.Red,3.0,0.05,MissingRate_0.05,MICE,0.8755669558986352,missForest,0.6887409887078919
Wine.Red,3.0,0.1,MissingRate_0.1,MICE,0.7931038109781596,missForest,0.6342243620983113
Wine.Red,3.0,0.15,MissingRate_0.15,FAMD,0.7745869261159269,missForest,0.5985318149294919
Wine.Red,2.0,0.05,MissingRate_0.05,missForest,0.9078173017921294,missForest,0.9078173017921294
Wine.Red,2.0,0.1,MissingRate_0.1,missForest,0.9128139305457074,missForest,0.9128139305457074
Wine.Red,2.0,0.15,MissingRate_0.15,missForest,0.1214178836722553,missForest,0.1214178836722553
Statlog,3.0,0.05,MissingRate_0.05,MICE,0.8794475211651689,MICE,0.8794475211651689
Statlog,3.0,0.1,MissingRate_0.1,missForest,0.784669288798799,MICE,0.7495440288829186
Statlog,3.0,0.15,MissingRate_0.15,MICE,0.6962998730251408,missForest,0.6864664868939634
Statlog,2.0,0.05,MissingRate_0.05,MICE,0.8647008523313086,MICE,0.8647008523313086
Statlog,2.0,0.1,MissingRate_0.1,MICE,0.7496317445446485,MICE,0.7496317445446485
Statlog,2.0,0.15,MissingRate_0.15,missForest,0.7358269740128082,missForest,0.7358269740128082
Hepatitis,3.0,0.05,MissingRate_0.05,missForest,0.822992371744567,missForest,0.822992371744567
Hepatitis,3.0,0.1,MissingRate_0.1,missForest,0.8193547551509726,missForest,0.8193547551509726
Hepatitis,3.0,0.15,MissingRate_0.15,missForest,0.7352576956285263,missForest,0.7352576956285263
Hepatitis,2.0,0.05,MissingRate_0.05,missForest,0.8180774147181021,missForest,0.8180774147181021
Hepatitis,2.0,0.1,MissingRate_0.1,missForest,0.8119914814385646,missForest,0.8119914814385646
Hepatitis,2.0,0.15,MissingRate_0.15,missForest,0.7282393172082057,missForest,0.7282393172082057
Statlog,5.0,0.05,MissingRate_0.05,FAMD,0.7549009887545967,MICE,0.7169885965814967
Statlog,5.0,0.1,MissingRate_0.1,FAMD,0.6596961856415825,MICE,0.407387999266277
Statlog,5.0,0.15,MissingRate_0.15,missForest,0.4318475609759551,missForest,0.4318475609759551
Manila,2.0,0.05,MissingRate_0.05,FAMD,0.9400068236814042,MICE,0.9357305113031072
Manila,2.0,0.1,MissingRate_0.1,FAMD,0.9345934416827508,MICE,0.9266026680769268
Hepatitis,5.0,0.05,MissingRate_0.05,missForest,0.8058701828425653,missForest,0.8058701828425653
Hepatitis,5.0,0.1,MissingRate_0.1,missForest,0.7954550169269626,missForest,0.7954550169269626
Hepatitis,5.0,0.15,MissingRate_0.15,MICE,0.7136367619260419,missForest,0.700342987941105
Manila,3.0,0.05,MissingRate_0.05,missForest,0.9243616092278172,MICE,0.9231996329884904
Manila,3.0,0.1,MissingRate_0.1,missForest,0.8893518400380892,MICE,0.8482938214163716
