age,education_num,hours_per_week,sex,marital_status,workclass,occupation,income
45,9,40,Female,Divorced,Private,Other-service,<=50K
41,10,40,Male,Married-civ-spouse,Private,Exec-managerial,>50K
32,9,40,Male,Married-civ-spouse,Private,Craft-repair,<=50K
54,9.436861803625035,40,Male,Married-civ-spouse,Private,Handlers-cleaners,<=50K
36,13,40,Male,Married-civ-spouse,Private,Exec-managerial,>50K
39,13,40,Male,Never-married,Private,Prof-specialty,<=50K
18,7,15,Female,Never-married,Private,Sales,<=50K
28,13,65,Male,Never-married,Private,Sales,<=50K
54,10,45.365451619487786,Male,Married-civ-spouse,Self-emp-not-inc,Craft-repair,<=50K
54,13,50,Male,Never-married,Local-gov,Prof-specialty,<=50K
36,10,40.56799563872357,Male,Married-civ-spouse,Private,Machine-op-inspct,<=50K
30,9,62,Male,Married-civ-spouse,Private,Exec-managerial,<=50K
43,11,25,Male,Divorced,Self-emp-not-inc,Exec-managerial,<=50K
26,10,32.420337722170125,Female,Never-married,Private,Priv-house-serv,<=50K
22,10,40,Male,Never-married,Private,Tech-support,<=50K
47,13,50,Male,Married-civ-spouse,Private,Prof-specialty,>50K
36.93168249878182,10,40,Male,Never-married,Private,Tech-support,<=50K
30,13,60,Male,Never-married,Private,Prof-specialty,<=50K
37,9,40,Male,Married-civ-spouse,Self-emp-not-inc,Craft-repair,<=50K
35,15,45,Male,Married-civ-spouse,Private,Prof-specialty,>50K
59,10.060037196757534,45.41832765616739,Male,Married-civ-spouse,Private,Craft-repair,<=50K
37,10,40,Female,Never-married,Private,Tech-support,<=50K
47,10.494012087498158,50,Male,Married-civ-spouse,Private,Adm-clerical,<=50K
33.408761802102376,9,25,Male,Never-married,Private,Handlers-cleaners,<=50K
34,9,42.5709517099298,Male,Married-civ-spouse,Private,Craft-repair,<=50K
34,16,60,Female,Never-married,State-gov,Prof-specialty,<=50K
44,8,36,Male,Never-married,Private,Transport-moving,<=50K
34,16,45.46990559322414,Male,Married-civ-spouse,Private,Prof-specialty,>50K
25,13,50,Male,Never-married,Private,Exec-managerial,<=50K
33,10.489611691886656,40,Male,Divorced,Local-gov,Craft-repair,<=50K
35,13,40,Male,Widowed,Private,Adm-clerical,>50K
27,14,40.2284349183707,Male,Never-married,Local-gov,Prof-specialty,<=50K
24,8.83662034933065,40,Male,Never-married,Private,Craft-repair,<=50K
37.560239096900666,11,45,Male,Never-married,Private,Craft-repair,<=50K
27,13,36,Female,Never-married,Private,Tech-support,<=50K
33,3,40,Female,Never-married,Private,Other-service,<=50K
33,9.529868118271112,40,Male,Never-married,Private,Adm-clerical,<=50K
23,10,40,Female,Divorced,Private,Sales,<=50K
33,10,40,Male,Married-civ-spouse,Private,Craft-repair,<=50K
45,6,70,Male,Married-civ-spouse,Self-emp-not-inc,Craft-repair,<=50K
45,12.347805310172516,46.59843921733478,Male,Married-civ-spouse,Local-gov,Prof-specialty,>50K
40.38168964193522,9,48,Male,Married-civ-spouse,Private,Craft-repair,<=50K
29,7,20,Female,Divorced,Local-gov,Adm-clerical,<=50K
51,15,40,Male,Never-married,Local-gov,Prof-specialty,<=50K
56,9,70,Male,Married-spouse-absent,Self-emp-not-inc,Exec-managerial,<=50K
40,9.355646032066428,40,Male,Married-civ-spouse,Private,Transport-moving,<=50K
28,9.45650720147615,60,Male,Married-civ-spouse,Private,Craft-repair,<=50K
30,13,40,Male,Never-married,Local-gov,Exec-managerial,<=50K
29,10,40,Male,Married-civ-spouse,Private,Exec-managerial,<=50K
21,9,35,Male,Never-married,Private,Other-service,<=50K
21,9.168552255677923,40,Male,Married-civ-spouse,Private,Craft-repair,<=50K
48,12,45,Male,Married-civ-spouse,Private,Craft-repair,<=50K
17,6,33.22687616001642,Female,Never-married,Private,Other-service,<=50K
32,5,40,Female,Separated,Private,Other-service,<=50K
66,9,40,Male,Separated,Private,Machine-op-inspct,<=50K
57,9,48,Male,Married-civ-spouse,Self-emp-not-inc,Sales,<=50K
42.89600395085512,14,38.906398216159815,Female,Divorced,Local-gov,Prof-specialty,<=50K
45,9,8,Male,Married-civ-spouse,Private,Prof-specialty,<=50K
29,13,50,Male,Married-civ-spouse,Private,Exec-managerial,>50K
36,9.438759421187024,40,Male,Married-civ-spouse,Private,Machine-op-inspct,<=50K
19,10,35.011218222377835,Female,Never-married,Private,Other-service,<=50K
30,9,62,Female,Divorced,Private,Adm-clerical,<=50K
18,9,20,Female,Never-married,Private,Craft-repair,<=50K
59,9,20,Male,Married-civ-spouse,Private,Other-service,<=50K
44,10.202259959107762,60,Male,Married-civ-spouse,Private,Sales,<=50K
39,9,44,Male,Never-married,Private,Tech-support,<=50K
39,9.711719069287847,43.48354214059399,Male,Married-civ-spouse,Private,Transport-moving,<=50K
46,10,60,Female,Widowed,Private,Adm-clerical,<=50K
37.00337566949285,13,15,Male,Married-civ-spouse,Private,Other-service,<=50K
72,7,40,Female,Widowed,Private,Adm-clerical,<=50K
49.405946403776156,13,50,Male,Married-civ-spouse,Self-emp-inc,Exec-managerial,>50K
34,7,60,Male,Married-civ-spouse,Private,Transport-moving,<=50K
30,8.731677596405657,40,Male,Never-married,Private,Handlers-cleaners,<=50K
45.23428910318951,13,45,Male,Married-civ-spouse,Private,Sales,>50K
30,13,40,Male,Never-married,Private,Prof-specialty,<=50K
43.12486440588758,10,40,Male,Married-civ-spouse,Private,Exec-managerial,>50K
51,11.86414918900105,50.442907429853854,Male,Married-civ-spouse,Self-emp-inc,Exec-managerial,>50K
41,9,40,Male,Married-civ-spouse,Private,Transport-moving,<=50K
39.45616625186785,10,40,Male,Married-civ-spouse,Private,Sales,<=50K
52,9,40,Male,Married-civ-spouse,Private,Exec-managerial,>50K
32,9.133883843364373,40,Male,Never-married,Private,Other-service,<=50K
35,9,35,Female,Divorced,Private,Other-service,<=50K
71,10,50,Male,Married-civ-spouse,Private,Exec-managerial,>50K
47,11.676024910985594,41.803253173162574,Male,Divorced,Federal-gov,Prof-specialty,<=50K
34,4,45,Male,Married-civ-spouse,Private,Transport-moving,<=50K
23,11,38.65246251348198,Male,Never-married,Private,Tech-support,<=50K
34.475587605411825,10,24,Female,Never-married,Private,Adm-clerical,<=50K
46.063484628167245,11.709037366170048,45,Male,Married-civ-spouse,Private,Prof-specialty,>50K
39,16,40,Male,Divorced,Self-emp-not-inc,Adm-clerical,<=50K
27,15,12,Female,Divorced,Private,Prof-specialty,<=50K
38.18209593372206,10,40,Male,Divorced,Private,Craft-repair,<=50K
