MissingRate,Method,RMSE,PFC,TimeSec,NumRows,NumCols
0.05,MICE,1.582111258429704,NA,1.9218111038208008,195,23
0.05,FAMD,0.09581492702292163,NA,0.2503960132598877,195,23
0.05,missForest,1.7570284915576226,NA,2.838792085647583,195,23
0.1,MICE,2.5864360685013947,NA,1.8429489135742188,195,23
0.1,FAMD,0.11544212224420669,NA,0.48047685623168945,195,23
0.1,missForest,2.271388996667663,NA,1.9533681869506836,195,23
0.1,MIDAS,4.377831353675189,NA,5.78173303604126,195,23
0.15,MICE,2.923392476102293,NA,1.843724012374878,195,23
0.15,FAMD,0.16052302015205927,NA,0.7818779945373535,195,23
0.15,missForest,2.4748791543027573,NA,3.096648931503296,195,23
0.15,MIDAS,4.944922778648198,NA,6.0159289836883545,195,23
