DatasetName,Missingness,NumbClusters,PreClusterWinner,PostClusterWinner,PreClusterMetric,PreClusterARI,PostClusterARI,Avg_RMSE,Avg_PFC
Stars,0.05,2.0,missForest,missForest,0.928571428571433,0.9340695560397744,0.9340695560397744,6488.930257154657,0.0013888888888888
Stars,0.1,2.0,missForest,missForest,1.0,0.9178368316864128,0.9178368316864128,6069.926664681656,0.0
Stars,0.15,2.0,missForest,missForest,1.0,0.917923583721861,0.917923583721861,7338.69849104471,0.0027777777777777
Weather,0.05,5.0,missForest,missForest,1.0,0.9750196186990184,0.9750196186990184,2.6319120713279305,0.0
Stars,0.05,3.0,missForest,MICE,0.928571428571433,0.3953336252617062,0.7256376095927901,6488.930257154657,0.0013888888888888
Stars,0.1,3.0,missForest,missForest,1.0,0.7930722175025978,0.7930722175025978,6069.926664681656,0.0
Stars,0.15,3.0,missForest,FAMD,1.0,0.3897875663092429,0.4028139950175537,7338.69849104471,0.0027777777777777
Weather,0.05,2.0,missForest,missForest,1.0,0.983401476967836,0.983401476967836,2.6319120713279305,0.0
Weather,0.05,3.0,missForest,missForest,1.0,0.9684853092153604,0.9684853092153604,2.6319120713279305,0.0
Stars,0.05,5.0,missForest,MICE,0.928571428571433,0.8778235321747216,0.9128039214120772,6488.930257154657,0.0013888888888888
Stars,0.1,5.0,missForest,missForest,1.0,0.9343285501103008,0.9343285501103008,6069.926664681656,0.0
Stars,0.15,5.0,missForest,missForest,1.0,0.8867453395084812,0.8867453395084812,7338.69849104471,0.0027777777777777
Hypertension,0.05,5.0,missForest,FAMD,1.0,0.5650661383183399,0.6130128713040178,23.82617440774484,0.0
Hypertension,0.1,5.0,FAMD,missForest,1.0,0.5097119299780607,0.7924111295573356,35.242574928729724,0.0
Hypertension,0.15,5.0,FAMD,missForest,1.0,0.3365047150508065,0.6479175672967594,40.98588135702823,0.0
Wine.White,0.05,3.0,missForest,missForest,1.0,0.8809082490284356,0.8809082490284356,0.8096750148462407,0.0153123723968966
Wine.White,0.1,3.0,missForest,missForest,1.0,0.8293491962001026,0.8293491962001026,1.1434628097207056,0.0338913842384646
Wine.White,0.15,3.0,missForest,MICE,1.0,0.7026954329652545,0.7180414643108582,1.4609102080514125,0.0520620661494487
Wine.White,0.05,2.0,missForest,MICE,1.0,0.271402859169047,0.2765039639182834,0.8096750148462407,0.0153123723968966
Wine.White,0.1,2.0,missForest,missForest,1.0,0.2513094818749011,0.2513094818749011,1.1434628097207056,0.0338913842384646
Wine.White,0.15,2.0,missForest,MICE,1.0,0.0457402427605573,0.2129862178455966,1.4609102080514125,0.0520620661494487
Wine.Red,0.05,5.0,missForest,missForest,1.0,0.8838302096655892,0.8838302096655892,0.6116175477540852,0.0168855534709193
Wine.Red,0.1,5.0,missForest,FAMD,1.0,0.707034807899988,0.7853311737631453,0.8614978383609997,0.0375234521575985
Wine.Red,0.15,5.0,missForest,missForest,1.0,0.7869598587945382,0.7869598587945382,1.1221918528433374,0.0637898686679174
Hypertension,0.05,3.0,missForest,FAMD,1.0,0.8954127069850574,0.905816666590886,23.82617440774484,0.0
Hypertension,0.1,3.0,FAMD,FAMD,1.0,0.829045806884282,0.829045806884282,35.242574928729724,0.0
Hypertension,0.15,3.0,FAMD,MICE,1.0,0.2956856615064805,0.6928454183354167,40.98588135702823,0.0
Wine.White,0.05,5.0,missForest,missForest,1.0,0.8457679103950486,0.8457679103950486,0.8096750148462407,0.0153123723968966
Wine.White,0.1,5.0,missForest,missForest,1.0,0.8123310810509656,0.8123310810509656,1.1434628097207056,0.0338913842384646
Wine.White,0.15,5.0,missForest,missForest,1.0,0.7603525716836403,0.7603525716836403,1.4609102080514125,0.0520620661494487
Hypertension,0.05,2.0,missForest,MICE,1.0,0.9173906031723796,0.91739061711811,23.82617440774484,0.0
Hypertension,0.1,2.0,FAMD,MICE,1.0,0.8321696350471878,0.8507480919028769,35.242574928729724,0.0
Hypertension,0.15,2.0,FAMD,MICE,1.0,0.7192615864456008,0.7221222014017334,40.98588135702823,0.0
Wine.Red,0.05,3.0,missForest,MICE,1.0,0.6887409887078919,0.8755669558986352,0.6116175477540852,0.0168855534709193
Wine.Red,0.1,3.0,missForest,MICE,1.0,0.6342243620983113,0.7931038109781596,0.8614978383609997,0.0375234521575985
Wine.Red,0.15,3.0,missForest,FAMD,1.0,0.5985318149294919,0.7745869261159269,1.1221918528433374,0.0637898686679174
Wine.Red,0.05,2.0,missForest,missForest,1.0,0.9078173017921294,0.9078173017921294,0.6116175477540852,0.0168855534709193
Wine.Red,0.1,2.0,missForest,missForest,1.0,0.9128139305457074,0.9128139305457074,0.8614978383609997,0.0375234521575985
Wine.Red,0.15,2.0,missForest,missForest,1.0,0.1214178836722553,0.1214178836722553,1.1221918528433374,0.0637898686679174
Statlog,0.05,3.0,MICE,MICE,1.0,0.8794475211651689,0.8794475211651689,77.49274284100764,0.0109444444444444
Statlog,0.1,3.0,MICE,missForest,0.8275435632327865,0.7495440288829186,0.784669288798799,108.78019823036732,0.0201666666666666
Statlog,0.15,3.0,missForest,MICE,0.5271084337349399,0.6864664868939634,0.6962998730251408,132.04433669624274,0.0388888888888888
Statlog,0.05,2.0,MICE,MICE,1.0,0.8647008523313086,0.8647008523313086,77.49274284100764,0.0109444444444444
Statlog,0.1,2.0,MICE,MICE,0.8275435632327865,0.7496317445446485,0.7496317445446485,108.78019823036732,0.0201666666666666
Statlog,0.15,2.0,missForest,missForest,0.5271084337349399,0.7358269740128082,0.7358269740128082,132.04433669624274,0.0388888888888888
Hepatitis,0.05,3.0,missForest,missForest,1.0,0.822992371744567,0.822992371744567,3.5885916104348885,0.0
Hepatitis,0.1,3.0,missForest,missForest,1.0,0.8193547551509726,0.8193547551509726,5.762531959781056,0.0
Hepatitis,0.15,3.0,missForest,missForest,1.0,0.7352576956285263,0.7352576956285263,6.721867417862482,0.0
Hepatitis,0.05,2.0,missForest,missForest,1.0,0.8180774147181021,0.8180774147181021,3.5885916104348885,0.0
Hepatitis,0.1,2.0,missForest,missForest,1.0,0.8119914814385646,0.8119914814385646,5.762531959781056,0.0
Hepatitis,0.15,2.0,missForest,missForest,1.0,0.7282393172082057,0.7282393172082057,6.721867417862482,0.0
Statlog,0.05,5.0,MICE,FAMD,1.0,0.7169885965814967,0.7549009887545967,77.49274284100764,0.0109444444444444
Statlog,0.1,5.0,MICE,FAMD,0.8275435632327865,0.407387999266277,0.6596961856415825,108.78019823036732,0.0201666666666666
Statlog,0.15,5.0,missForest,missForest,0.5271084337349399,0.4318475609759551,0.4318475609759551,132.04433669624274,0.0388888888888888
Manila,0.05,2.0,MICE,FAMD,1.0,0.9357305113031072,0.9400068236814042,0.8269168852462923,0.0010034665207079
Manila,0.1,2.0,MICE,FAMD,0.6177354931761267,0.9266026680769268,0.9345934416827508,1.3652619733201583,0.0037401933953658
Hepatitis,0.05,5.0,missForest,missForest,1.0,0.8058701828425653,0.8058701828425653,3.5885916104348885,0.0
Hepatitis,0.1,5.0,missForest,missForest,1.0,0.7954550169269626,0.7954550169269626,5.762531959781056,0.0
Hepatitis,0.15,5.0,missForest,MICE,1.0,0.700342987941105,0.7136367619260419,6.721867417862482,0.0
Manila,0.05,3.0,MICE,missForest,1.0,0.9231996329884904,0.9243616092278172,0.8269168852462923,0.0010034665207079
Manila,0.1,3.0,MICE,missForest,0.6177354931761267,0.8482938214163716,0.8893518400380892,1.3652619733201583,0.0037401933953658
