age,education_num,hours_per_week,sex,marital_status,workclass,occupation,income
45,9,40,Female,Divorced,Private,Other-service,<=50K
41,10,40,Male,Married-civ-spouse,Private,Craft-repair,>50K
32,9,40,Male,Married-civ-spouse,Private,Craft-repair,<=50K
54,6,40,Male,Married-civ-spouse,Private,Handlers-cleaners,<=50K
36,13,40,Male,Married-civ-spouse,Private,Exec-managerial,>50K
39,13,40,Male,Never-married,Private,Prof-specialty,<=50K
18,7,15,Female,Never-married,Private,Sales,<=50K
28,13,65,Male,Never-married,Private,Sales,<=50K
54,10,40,Male,Married-civ-spouse,Self-emp-not-inc,Sales,<=50K
54,13,50,Male,Never-married,Local-gov,Prof-specialty,<=50K
36,10,40,Male,Married-civ-spouse,Private,Machine-op-inspct,<=50K
30,9,62,Male,Married-civ-spouse,Private,Exec-managerial,<=50K
43,11,25,Male,Divorced,Self-emp-not-inc,Exec-managerial,<=50K
26,10,50,Female,Never-married,Private,Priv-house-serv,<=50K
22,10,40,Male,Never-married,Private,Tech-support,<=50K
47,13,50,Male,Married-civ-spouse,Private,Prof-specialty,>50K
22,10,40,Male,Never-married,Private,Tech-support,<=50K
30,13,60,Female,Never-married,Private,Prof-specialty,<=50K
37,9,40,Male,Married-civ-spouse,Self-emp-not-inc,Craft-repair,<=50K
35,15,45,Male,Married-civ-spouse,Self-emp-not-inc,Prof-specialty,>50K
59,8.4,31.4,Male,Married-civ-spouse,Private,Craft-repair,<=50K
37,10,40,Female,Divorced,Private,Tech-support,<=50K
47,9,50,Male,Married-civ-spouse,Private,Adm-clerical,>50K
18,9,25,Male,Never-married,Private,Handlers-cleaners,<=50K
34,9,37.6,Male,Married-civ-spouse,Private,Craft-repair,<=50K
34,16,60,Female,Never-married,State-gov,Prof-specialty,<=50K
44,8,36,Male,Never-married,Private,Transport-moving,<=50K
34,16,50,Male,Married-civ-spouse,Private,Prof-specialty,>50K
25,13,50,Male,Never-married,Private,Exec-managerial,<=50K
33,10.2,40,Male,Divorced,Local-gov,Craft-repair,<=50K
35,13,40,Male,Widowed,Federal-gov,Adm-clerical,>50K
27,14,39,Male,Never-married,Local-gov,Prof-specialty,<=50K
24,7.4,40,Male,Never-married,Private,Craft-repair,<=50K
29.6,11,45,Male,Never-married,Private,Craft-repair,<=50K
27,13,36,Female,Never-married,Private,Tech-support,<=50K
33,3,40,Female,Never-married,Private,Other-service,<=50K
33,9,40,Male,Never-married,Private,Adm-clerical,<=50K
23,10,40,Female,Divorced,Private,Sales,<=50K
33,10,40,Male,Married-civ-spouse,Private,Craft-repair,<=50K
45,6,70,Male,Married-civ-spouse,Self-emp-not-inc,Craft-repair,<=50K
45,14,40,Male,Married-civ-spouse,Local-gov,Prof-specialty,>50K
41.8,9,48,Male,Married-civ-spouse,Private,Craft-repair,<=50K
29,7,20,Female,Divorced,Local-gov,Other-service,<=50K
51,15,40,Male,Never-married,Local-gov,Prof-specialty,<=50K
56,9,70,Male,Married-spouse-absent,Self-emp-not-inc,Exec-managerial,<=50K
40,9.6,40,Male,Married-civ-spouse,Private,Transport-moving,<=50K
28,10,60,Male,Married-civ-spouse,Private,Craft-repair,<=50K
30,13,40,Male,Never-married,Local-gov,Exec-managerial,<=50K
29,10,40,Male,Married-civ-spouse,Private,Exec-managerial,<=50K
21,9,35,Male,Never-married,Private,Other-service,<=50K
21,6,40,Male,Married-civ-spouse,Private,Craft-repair,<=50K
48,12,45,Male,Married-civ-spouse,Private,Craft-repair,<=50K
17,6,20,Female,Never-married,Private,Other-service,<=50K
32,5,40,Female,Separated,Private,Other-service,<=50K
66,9,40,Male,Separated,Private,Machine-op-inspct,<=50K
57,9,48,Male,Married-civ-spouse,Self-emp-not-inc,Sales,<=50K
47.4,14,52.8,Female,Divorced,Local-gov,Prof-specialty,<=50K
45,9,8,Male,Married-civ-spouse,Private,Prof-specialty,<=50K
29,13,50,Male,Married-civ-spouse,Private,Exec-managerial,>50K
36,8.6,40,Male,Married-civ-spouse,Private,Machine-op-inspct,<=50K
19,10,44.6,Male,Never-married,Private,Other-service,<=50K
30,9,62,Female,Divorced,Private,Adm-clerical,<=50K
18,9,20,Female,Never-married,Private,Craft-repair,<=50K
59,9,20,Male,Married-civ-spouse,Self-emp-not-inc,Other-service,<=50K
44,9,60,Male,Married-civ-spouse,Private,Sales,<=50K
39,9,44,Male,Never-married,Private,Tech-support,<=50K
39,8,70,Male,Married-civ-spouse,Private,Transport-moving,>50K
46,10,60,Female,Widowed,Private,Adm-clerical,<=50K
28,13,15,Male,Married-civ-spouse,Private,Other-service,<=50K
72,7,40,Female,Widowed,Private,Adm-clerical,<=50K
45.8,13,50,Male,Married-civ-spouse,Self-emp-inc,Exec-managerial,>50K
34,7,60,Male,Divorced,Private,Transport-moving,<=50K
30,7,40,Male,Married-civ-spouse,Private,Handlers-cleaners,<=50K
24,13,45,Male,Married-civ-spouse,Private,Sales,>50K
30,13,40,Male,Never-married,Private,Prof-specialty,<=50K
39.8,10,40,Male,Married-civ-spouse,Private,Sales,>50K
51,12.2,59,Male,Married-civ-spouse,Self-emp-inc,Exec-managerial,>50K
41,9,40,Male,Married-civ-spouse,Private,Transport-moving,<=50K
41.4,10,40,Male,Married-civ-spouse,Private,Sales,<=50K
52,9,40,Male,Married-civ-spouse,Private,Adm-clerical,>50K
32,10,40,Male,Never-married,Private,Adm-clerical,<=50K
35,9,35,Female,Divorced,Private,Other-service,<=50K
71,10,50,Male,Married-civ-spouse,Private,Exec-managerial,>50K
47,12,40,Male,Divorced,Federal-gov,Prof-specialty,<=50K
34,4,45,Male,Married-civ-spouse,Private,Transport-moving,<=50K
23,11,31.2,Male,Never-married,Private,Tech-support,<=50K
22.6,10,24,Female,Never-married,Private,Adm-clerical,<=50K
48.6,12.4,45,Male,Married-civ-spouse,Private,Prof-specialty,>50K
39,16,40,Male,Divorced,Self-emp-not-inc,Adm-clerical,<=50K
27,15,12,Female,Divorced,Private,Prof-specialty,<=50K
42,10,40,Male,Divorced,Private,Craft-repair,<=50K
27,13,32,Female,Never-married,Private,Prof-specialty,<=50K
29,9,18,Female,Married-civ-spouse,Private,Sales,<=50K
33,9,40,Male,Married-civ-spouse,Private,Tech-support,<=50K
62,13,53.8,Male,Married-civ-spouse,Private,Sales,>50K
34,7,40,Male,Never-married,Private,Machine-op-inspct,<=50K
43,10,70,Male,Married-civ-spouse,Self-emp-inc,Exec-managerial,>50K
48,10,30,Male,Married-civ-spouse,Self-emp-not-inc,Exec-managerial,>50K
47,15,50.4,Male,Married-civ-spouse,Self-emp-not-inc,Prof-specialty,>50K
22,13,30,Female,Never-married,Private,Exec-managerial,<=50K
47,9,40,Male,Married-civ-spouse,Private,Craft-repair,<=50K
61,4,40,Male,Married-civ-spouse,Private,Transport-moving,<=50K
23,13,40,Male,Never-married,Private,Handlers-cleaners,<=50K
60,13,28.2,Female,Divorced,State-gov,Prof-specialty,<=50K
34,9,40,Male,Never-married,Private,Transport-moving,<=50K
70,11.4,16,Male,Married-civ-spouse,Self-emp-inc,Exec-managerial,>50K
17,7.4,30,Male,Never-married,Private,Handlers-cleaners,<=50K
