age,education_num,hours_per_week,sex,marital_status,workclass,occupation,income
45,9,40,Female,Divorced,Private,Other-service,<=50K
41,10,40,Male,Married-civ-spouse,Private,NA,>50K
32,9,40,Male,Married-civ-spouse,Private,Craft-repair,<=50K
54,6,40,Male,Married-civ-spouse,NA,Handlers-cleaners,<=50K
36,13,40,Male,Married-civ-spouse,Private,Exec-managerial,>50K
39,13,40,Male,Never-married,Private,Prof-specialty,<=50K
18,7,15,Female,Never-married,Private,Sales,<=50K
28,13,65,Male,Never-married,Private,Sales,<=50K
54,10,40,Male,NA,Self-emp-not-inc,Sales,<=50K
54,13,50,Male,Never-married,Local-gov,Prof-specialty,<=50K
36,10,NA,Male,Married-civ-spouse,Private,Machine-op-inspct,<=50K
30,9,62,Male,Married-civ-spouse,Private,Exec-managerial,<=50K
43,11,25,NA,Divorced,Self-emp-not-inc,Exec-managerial,<=50K
26,10,50,Female,Never-married,Private,Priv-house-serv,<=50K
22,10,40,NA,Never-married,Private,Tech-support,<=50K
47,13,50,Male,NA,Private,Prof-specialty,>50K
22,10,40,Male,Never-married,Private,Tech-support,<=50K
30,13,60,Female,Never-married,Private,Prof-specialty,NA
37,9,40,Male,Married-civ-spouse,Self-emp-not-inc,Craft-repair,<=50K
35,15,45,Male,Married-civ-spouse,NA,Prof-specialty,>50K
59,NA,NA,Male,Married-civ-spouse,NA,Craft-repair,<=50K
37,10,40,Female,NA,Private,Tech-support,<=50K
47,9,50,Male,Married-civ-spouse,Private,Adm-clerical,>50K
18,9,25,Male,Never-married,Private,Handlers-cleaners,<=50K
34,9,NA,Male,NA,Private,Craft-repair,NA
34,16,60,Female,Never-married,State-gov,NA,<=50K
44,8,36,NA,Never-married,Private,Transport-moving,<=50K
34,16,50,Male,NA,Private,Prof-specialty,>50K
25,13,50,Male,Never-married,Private,Exec-managerial,<=50K
33,NA,40,Male,Divorced,Local-gov,Craft-repair,<=50K
35,13,40,Male,Widowed,Federal-gov,Adm-clerical,>50K
27,14,NA,Male,Never-married,Local-gov,Prof-specialty,<=50K
