variable,type,levels,description,source
A1,categories,"0, 1",Attribute 1,UCI  
A2,numeric,,Attribute 2,UCI  
A3,numeric,,Attribute 3,UCI  
A4,categories,"1, 2, 3",Attribute 4,UCI  
A5,categories,"1, 2, 3, 4, 6, 7, 8, 9, 11, 13, 14",Attribute 5,UCI  
A6,categories,"1, 2, 3, 4, 5, 6, 7, 8",Attribute 6,UCI  
A7,numeric,,Attribute 7,UCI  
A8,categories,"0, 1",Attribute 8,UCI  
A9,categories,"0, 1",Attribute 9,UCI  
A10,numeric,,Attribute 10,UCI  
A11,categories,"0, 1",Attribute 11,UCI  
A12,categories,"1, 2, 3",Attribute 12,UCI  
A13,numeric,,Attribute 13,UCI  
A14,numeric,,Attribute 14,UCI  
Class,binary,"1, 2","Class (target)",UCI  
