variable,type,levels,description,source
fixed_acidity,numeric,,Fixed acidity,UCI  
volatile_acidity,numeric,,Volatile acidity,UCI  
citric_acid,numeric,,Citric acid,UCI  
residual_sugar,numeric,,Residual sugar,UCI  
chlorides,numeric,,Chlorides,UCI  
free_sulfur_dioxide,numeric,,Free sulfur dioxide,UCI  
total_sulfur_dioxide,numeric,,Total sulfur dioxide,UCI  
density,numeric,,Density,UCI  
pH,numeric,,pH,UCI  
sulphates,numeric,,Sulphates,UCI  
alcohol,numeric,,Alcohol content,UCI  
quality,ordered,"0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10","Wine quality score (target)",UCI  
