MissingRate,Method,RMSE,PFC,TimeSec,NumRows,NumCols
0.05,MICE,2.0526470678245077,0.018584070796460177,132.09449791908264,6780,8
0.05,FAMD,2.08847851371145,0.01976401179941003,0.637890100479126,6780,8
0.05,missForest,1.9051482072461554,0.02023598820058997,132.08650708198547,6780,8
0.05,MIDAS,4.301794317078752,0.04991150442477876,63.936126947402954,6780,8
0.1,MICE,2.9481016294782925,0.04088495575221239,129.7612340450287,6780,8
0.1,FAMD,2.831324352004486,0.03896755162241888,0.740231990814209,6780,8
0.1,missForest,2.601355789357361,0.0440117994100295,106.39262390136719,6780,8
0.1,MIDAS,4.797625052055537,0.10156342182890855,64.87736487388611,6780,8
0.15,MICE,3.5934170469095164,0.059970501474926254,117.45644903182983,6780,8
0.15,FAMD,3.4602718453755075,0.05787610619469027,0.9139978885650635,6780,8
0.15,missForest,3.234984803565676,0.0640117994100295,126.87118482589722,6780,8
0.15,MIDAS,5.165708219810065,0.15047197640117993,65.00405192375183,6780,8
