MissingRate,Method,RMSE,PFC,TimeSec,NumRows,NumCols
0.05,MICE,0.14616201056818198,0.0011904761904761904,1.8756239414215088,120,8
0.05,FAMD,0.36505467082461307,NA,0.029104948043823242,120,8
0.05,missForest,0.23138234686083445,0.0011904761904761904,0.14457011222839355,120,8
0.05,MIDAS,0.6923676287376578,0.05238095238095238,18.748570919036865,120,8
0.1,MICE,0.19566978986718023,0.008333333333333333,1.380331039428711,120,8
0.1,FAMD,0.37795089408298177,NA,0.02743697166442871,120,8
0.1,missForest,0.23857707491250238,0.005952380952380953,0.18654680252075195,120,8
0.1,MIDAS,0.8587812605785543,0.10238095238095238,4.904489994049072,120,8
0.15,MICE,0.233209490944658,0.007142857142857143,1.2690730094909668,120,8
0.15,FAMD,0.3856029624495648,NA,0.0339810848236084,120,8
0.15,missForest,0.24332510071565094,0.009523809523809525,0.09720683097839355,120,8
0.15,MIDAS,1.0253222362575143,0.15119047619047618,4.286988019943237,120,8
