Dataset,MissingRate,Category,Winner_Method,Winner_Score,Avg_RMSE,Avg_PFC
Stars,0.15,MissingRate_0.15,missForest,1.0,7338.69849104471,0.0027777777777777
Stars,0.1,MissingRate_0.1,missForest,1.0,6069.926664681656,0.0
Stars,0.05,MissingRate_0.05,missForest,0.928571428571433,6488.930257154657,0.0013888888888888
Stars,Overall,Overall,missForest,0.959459459459461,6632.518470960341,0.0013888888888888334
Wine.White,0.15,MissingRate_0.15,missForest,1.0,1.4609102080514125,0.0520620661494487
Wine.White,0.1,MissingRate_0.1,missForest,1.0,1.1434628097207056,0.0338913842384646
Wine.White,0.05,MissingRate_0.05,missForest,1.0,0.8096750148462407,0.0153123723968966
Wine.White,Overall,Overall,missForest,1.0,1.1380160108727864,0.0337552742616033
Manila,0.15,MissingRate_0.15,MICE,0.8432266306992783,1.8505164713473556,0.0085294654260171
Manila,0.1,MissingRate_0.1,MICE,0.6177354931761267,1.3652619733201583,0.0037401933953658
Manila,0.05,MissingRate_0.05,MICE,1.0,0.8269168852462923,0.0010034665207079
Manila,Overall,Overall,MICE,1.0,1.3475651099712689,0.0044243751140302665
Wine.Red,0.15,MissingRate_0.15,missForest,1.0,1.1221918528433374,0.0637898686679174
Wine.Red,0.1,MissingRate_0.1,missForest,1.0,0.8614978383609997,0.0375234521575985
Wine.Red,0.05,MissingRate_0.05,missForest,1.0,0.6116175477540852,0.0168855534709193
Wine.Red,Overall,Overall,missForest,1.0,0.8651024129861408,0.039399624765478404
Weather,0.05,MissingRate_0.05,missForest,1.0,2.6319120713279305,0.0
Weather,Overall,Overall,missForest,1.0,2.6319120713279305,0.0
Statlog,0.15,MissingRate_0.15,missForest,0.5271084337349399,132.04433669624274,0.0388888888888888
Statlog,0.1,MissingRate_0.1,MICE,0.8275435632327865,108.78019823036732,0.0201666666666666
Statlog,0.05,MissingRate_0.05,MICE,1.0,77.49274284100764,0.0109444444444444
Statlog,Overall,Overall,MICE,0.7096250550177665,110.81475059194808,0.020425925925925865
Hypertension,0.15,MissingRate_0.15,FAMD,1.0,40.98588135702823,0.0
Hypertension,0.1,MissingRate_0.1,FAMD,1.0,35.242574928729724,0.0
Hypertension,0.05,MissingRate_0.05,missForest,1.0,23.826174407744837,0.0
Hypertension,Overall,Overall,FAMD,1.0,33.35577367247197,0.0
Hepatitis,0.15,MissingRate_0.15,missForest,1.0,6.721867417862482,0.0
Hepatitis,0.1,MissingRate_0.1,missForest,1.0,5.762531959781056,0.0
Hepatitis,0.05,MissingRate_0.05,missForest,1.0,3.5885916104348885,0.0
Hepatitis,Overall,Overall,missForest,1.0,5.357663662692809,0.0
